a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
zero,2.0,one,22.0,zero,,49.0,one,32.0,
one,1.0,,42.0,zero,zero,49.0,one,46.0,zero_zero_zero_one_one
one,2.0,one,37.0,zero,three,39.0,one,47.0,
zero,1.0,zero,46.0,zero,zero,39.0,one,40.0,
zero,6.0,zero,8.0,zero,one,71.0,,17.0,zero_one_zero_zero_zero
zero,0.0,,21.0,zero,zero,59.0,one,31.0,zero_one_zero_zero_zero
zero,1.0,zero,8.0,zero,two,,,18.0,
one,4.0,three,18.0,zero,one,59.0,one,10.0,
,3.0,two,38.0,zero,zero,49.0,one,,
zero,0.0,zero,,zero,zero,55.0,one,19.0,
,4.0,three,,zero,one,47.0,one,20.0,
zero,3.0,zero,19.0,zero,zero,47.0,one,29.0,zero_zero_zero_one_zero
one,1.0,zero,16.0,,zero,47.0,one,,one_zero_zero_one_one
one,9.0,zero,17.0,zero,two,39.0,one,1.0,zero_one_zero_zero_zero
zero,2.0,zero,9.0,zero,,,one,2.0,
one,1.0,zero,18.0,zero,zero,47.0,one,28.0,one_zero_zero_one_zero
zero,6.0,zero,,zero,zero,39.0,one,21.0,one_zero_zero_zero_zero
zero,3.0,two,16.0,zero,zero,47.0,one,,one_zero_zero_one_zero
zero,2.0,two,,zero,two,43.0,one,42.0,one_one_one_zero_zero
zero,2.0,one,24.0,zero,zero,53.0,one,3.0,zero_zero_zero_one_zero
zero,3.0,two,38.0,zero,three,59.0,one,48.0,
one,,two,25.0,zero,two,41.0,one,,
zero,3.0,two,65.0,,zero,39.0,one,45.0,
zero,3.0,one,18.0,zero,zero,39.0,one,18.0,
zero,,zero,27.0,zero,one,47.0,one,15.0,one_zero_zero_zero_zero
zero,6.0,four,57.0,zero,zero,39.0,one,67.0,
zero,3.0,two,29.0,zero,two,47.0,one,13.0,
one,3.0,zero,16.0,zero,one,39.0,one,6.0,zero_one_one_zero_zero
zero,,zero,12.0,zero,zero,41.0,,,
zero,3.0,two,30.0,zero,two,39.0,one,40.0,zero_zero_zero_one_one
one,4.0,three,30.0,zero,two,59.0,one,40.0,
one,,one,44.0,zero,two,63.0,one,28.0,zero_zero_zero_one_one
one,0.0,zero,16.0,zero,three,54.0,one,26.0,one_zero_zero_zero_one
zero,3.0,two,27.0,zero,zero,47.0,one,37.0,
one,2.0,one,36.0,zero,two,59.0,one,26.0,zero_zero_zero_one_zero
one,5.0,zero,7.0,zero,one,39.0,one,17.0,
zero,1.0,zero,43.0,zero,,39.0,one,12.0,
one,3.0,two,28.0,zero,one,89.0,zero,31.0,
,3.0,two,44.0,zero,zero,39.0,one,54.0,zero_zero_zero_one_one
zero,2.0,one,43.0,zero,two,39.0,,30.0,
one,,three,39.0,zero,zero,47.0,one,40.0,zero_zero_zero_one_one
zero,2.0,two,,zero,one,47.0,one,35.0,
one,3.0,two,14.0,,,14.0,one,,
