a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
,2.0,,,zero,zero,49.0,one,32.0,zero_zero_zero_one_zero
one,1.0,zero,42.0,zero,zero,,one,,
,,,37.0,zero,three,39.0,,47.0,
zero,1.0,zero,46.0,,,39.0,one,40.0,zero_one_zero_one_zero
zero,,zero,8.0,zero,one,,one,17.0,
zero,0.0,,21.0,,,59.0,,31.0,
zero,,zero,,,two,45.0,one,,
one,4.0,three,18.0,,one,59.0,,10.0,
one,,two,,zero,zero,,,48.0,
zero,,zero,17.0,zero,zero,,one,,one_zero_zero_zero_zero
,4.0,three,34.0,,one,47.0,one,20.0,
zero,3.0,zero,,zero,zero,,one,,zero_zero_zero_one_zero
,,zero,16.0,zero,zero,,one,26.0,
one,9.0,zero,17.0,zero,,39.0,one,1.0,
zero,2.0,,9.0,zero,zero,83.0,,2.0,
,1.0,,,,zero,,,28.0,
,,,11.0,,zero,39.0,one,,
zero,3.0,two,,,zero,,,26.0,
zero,2.0,,32.0,zero,,,,,
,2.0,one,24.0,zero,zero,53.0,one,3.0,zero_zero_zero_one_zero
zero,3.0,,,zero,three,,one,48.0,one_zero_zero_one_one
,4.0,two,25.0,zero,two,41.0,one,,zero_zero_zero_one_zero
zero,3.0,two,,,zero,39.0,one,,
,3.0,one,18.0,zero,,39.0,one,18.0,
zero,,,27.0,,one,,one,15.0,
,6.0,,57.0,zero,zero,39.0,one,67.0,
zero,3.0,,29.0,,,47.0,,13.0,
one,3.0,,16.0,zero,,39.0,one,6.0,
zero,5.0,zero,12.0,zero,zero,41.0,,22.0,
zero,3.0,two,30.0,zero,two,39.0,,40.0,
one,,,30.0,,two,,one,40.0,
one,2.0,one,,,two,63.0,one,28.0,
one,0.0,,16.0,zero,three,54.0,,,
zero,3.0,two,,zero,zero,47.0,one,37.0,
one,,one,36.0,zero,two,59.0,one,26.0,
one,,,7.0,zero,one,,one,,
zero,,zero,43.0,zero,zero,,,12.0,
one,3.0,two,28.0,zero,one,89.0,,31.0,
,,,,zero,zero,39.0,one,,
,2.0,one,43.0,zero,,39.0,one,30.0,
one,6.0,three,39.0,zero,zero,47.0,,40.0,
zero,2.0,two,25.0,zero,one,,,35.0,zero_one_one_zero_zero
one,,,,,one,,one,24.0,
one,0.0,,,,one,,one,,
zero,,zero,34.0,zero,,97.0,one,,
,5.0,four,18.0,zero,,35.0,one,20.0,
two,,zero,9.0,zero,two,29.0,,5.0,
zero,,one,13.0,zero,zero,55.0,one,23.0,
two,,three,46.0,,three,3.0,,,zero_zero_zero_one_one
zero,2.0,zero,8.0,,one,5.0,,,
,4.0,three,32.0,zero,three,59.0,,42.0,zero_zero_zero_one_one
zero,,zero,17.0,,one,,one,20.0,
one,,zero,11.0,zero,two,23.0,one,,zero_zero_zero_zero_zero
zero,2.0,,17.0,zero,,47.0,one,2.0,
zero,5.0,two,,,zero,29.0,one,3.0,
,2.0,,36.0,,,49.0,one,30.0,
one,3.0,two,,zero,two,,,1.0,
,,zero,,zero,two,49.0,one,13.0,
zero,,one,58.0,zero,zero,78.0,one,14.0,
zero,2.0,one,33.0,zero,zero,39.0,,41.0,
zero,,zero,8.0,zero,,,one,,
zero,2.0,one,,zero,zero,,one,22.0,
zero,2.0,,17.0,,one,43.0,one,8.0,zero_one_zero_one_zero
one,,two,,zero,one,,,,zero_zero_zero_one_one
zero,,,,zero,zero,49.0,one,40.0,
zero,3.0,two,,zero,,55.0,one,38.0,
one,,three,,zero,,71.0,one,51.0,
,5.0,four,,,zero,39.0,one,10.0,
zero,,two,,zero,,,,16.0,
one,1.0,,52.0,,,59.0,one,62.0,
zero,3.0,three,30.0,zero,,39.0,,40.0,zero_one_one_zero_zero
one,,two,,zero,one,,one,55.0,
one,,zero,26.0,zero,three,,one,,
one,3.0,two,46.0,,,39.0,one,12.0,
zero,,zero,10.0,zero,,,one,,
,4.0,one,47.0,zero,zero,47.0,one,57.0,
,3.0,two,,zero,one,47.0,one,19.0,
one,,zero,,,two,,one,54.0,zero_zero_zero_one_one
,2.0,one,11.0,,one,39.0,one,12.0,
zero,,zero,16.0,zero,,,one,1.0,
zero,,zero,,zero,one,59.0,,,
zero,,,7.0,zero,,34.0,,,
zero,,zero,13.0,zero,zero,49.0,one,,
zero,2.0,two,14.0,,zero,39.0,one,10.0,
zero,,zero,15.0,zero,zero,55.0,one,25.0,one_zero_zero_one_zero
one,,,21.0,,,54.0,,,
zero,3.0,,30.0,,,94.0,,40.0,
one,7.0,zero,15.0,,one,47.0,one,24.0,
,3.0,,18.0,zero,zero,47.0,,4.0,
zero,3.0,two,17.0,,zero,39.0,one,27.0,one_one_zero_one_zero
one,0.0,zero,47.0,zero,,39.0,,4.0,
one,,two,26.0,,one,,,30.0,
one,3.0,two,,zero,zero,39.0,one,30.0,
,8.0,eight,42.0,zero,zero,39.0,one,5.0,
zero,5.0,four,,zero,,55.0,one,,
,1.0,zero,,,zero,,,26.0,zero_zero_zero_zero_zero
zero,1.0,zero,,zero,zero,,,38.0,
,,two,28.0,zero,two,39.0,one,38.0,zero_one_zero_one_one
zero,1.0,one,70.0,zero,zero,,zero,80.0,
zero,2.0,,22.0,,one,39.0,,20.0,
zero,7.0,two,32.0,zero,,43.0,,,
,3.0,,38.0,,two,,one,,
,2.0,one,,,two,39.0,one,16.0,
zero,3.0,zero,24.0,zero,two,,one,14.0,
zero,6.0,zero,39.0,,,9.0,one,,
one,5.0,,,zero,one,47.0,,,
,2.0,,,zero,one,29.0,one,39.0,
,2.0,one,32.0,zero,,69.0,one,17.0,
,2.0,,40.0,,,,one,50.0,
zero,4.0,three,55.0,,,14.0,zero,,
,4.0,three,,zero,two,77.0,one,35.0,
zero,4.0,three,19.0,,zero,29.0,one,2.0,
zero,,,,,,65.0,one,,
zero,,,8.0,zero,,71.0,,,
,4.0,three,35.0,zero,one,64.0,one,45.0,
,2.0,two,44.0,zero,,44.0,,,
one,3.0,,19.0,zero,,22.0,,29.0,
two,4.0,zero,,zero,,,one,,
four,5.0,zero,,zero,,63.0,one,12.0,
zero,,two,48.0,zero,,,one,21.0,
,2.0,one,15.0,,two,43.0,one,13.0,
,3.0,two,37.0,zero,zero,,,47.0,
,11.0,nine,37.0,zero,,29.0,one,12.0,
zero,2.0,,14.0,,one,47.0,one,0.0,
zero,3.0,two,,,one,,one,32.0,zero_one_zero_one_zero
zero,3.0,one,12.0,,zero,47.0,one,21.0,one_one_zero_one_zero
one,4.0,zero,44.0,zero,,39.0,one,54.0,
one,3.0,two,36.0,zero,,17.0,one,30.0,
zero,4.0,,18.0,zero,two,39.0,one,8.0,
,2.0,one,,zero,zero,43.0,one,35.0,
zero,2.0,,12.0,zero,,,,21.0,
,,,36.0,zero,zero,39.0,one,,
,,one,21.0,zero,three,,one,31.0,
,3.0,,30.0,zero,one,9.0,one,40.0,
one,2.0,one,,,two,24.0,one,33.0,
,2.0,one,19.0,,,47.0,,,
one,,two,,,one,,,41.0,
zero,3.0,,11.0,,zero,,,21.0,
zero,0.0,zero,,zero,zero,,,,one_zero_zero_zero_zero
four,6.0,,,zero,one,,one,17.0,one_zero_zero_one_one
zero,5.0,three,61.0,zero,zero,24.0,,45.0,zero_zero_zero_one_zero
zero,0.0,zero,,zero,,,,,
one,,zero,13.0,zero,,,one,20.0,
,2.0,,25.0,,one,47.0,one,28.0,
,2.0,one,40.0,,zero,39.0,one,50.0,
zero,5.0,three,10.0,,zero,11.0,,,
zero,,,,,,39.0,,5.0,
,9.0,six,,zero,zero,39.0,one,,
zero,,,13.0,,zero,47.0,one,21.0,
two,0.0,,12.0,zero,,,one,,
one,,two,,zero,three,,one,29.0,zero_zero_zero_one_one
