AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,DENSITY,EDU,PINCP,PINCP_DECILE,POVPIP,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
66,,1,0,2,0,2,,2731.2,,283500,9,501,2,2,2,2,45,45
63,,1,,2,0,2,1,2731.2,7,11000,3,501,2,2,2,2,50,45
,,5,0,2,2,,2,2731.2,8,32000,6,,2,2,2,2,157,157
24,2,6,0,,2,3,,2731.2,7,7400,2,,2,2,2,2,588,589
61,2,4,,2,0,2,1,2731.2,7,0,0,,2,2,2,2,48,48
33,2,6,0,2,0,2,1,2731.2,5,9300,2,,1,2,2,2,53,48
65,2,6,0,2,,2,1,2731.2,7,2200,1,105,2,2,2,2,141,140
19,1,6,0,,,2,1,2731.2,5,14000,3,105,2,2,2,,245,140
63,,1,,2,0,2,1,2731.2,7,17080,4,204,2,2,1,1,59,59
,,1,0,2,,2,,2731.2,10,17300,4,204,2,1,2,2,56,59
86,2,3,0,1,0,3,1,2731.2,,16700,4,209,2,2,2,2,62,62
68,,2,0,1,0,3,1,2731.2,10,16800,4,209,2,2,2,2,69,62
43,2,6,0,,,3,,2731.2,7,8000,2,209,2,2,2,2,81,62
81,1,2,0,1,0,3,1,2731.2,11,17000,4,139,2,2,2,,63,62
,,1,0,2,0,3,1,2731.2,9,57000,8,501,2,2,2,,49,49
60,2,1,0,,,3,1,2731.2,,51000,7,501,2,2,2,2,49,49
35,1,6,0,,,3,1,2731.2,,50000,7,,2,2,2,2,70,49
,1,1,0,2,0,3,1,2731.2,7,34500,6,432,2,2,2,1,215,215
71,2,1,0,2,0,,1,2731.2,5,21200,4,432,2,2,2,2,257,215
,1,5,0,,0,3,,2731.2,9,30000,5,,2,2,2,2,326,215
36,2,5,0,2,4,,,2731.2,4,900,1,3,2,2,2,2,69,70
36,1,1,0,2,2,4,1,2731.2,9,36200,6,356,2,2,2,2,184,185
,2,1,,2,,4,1,2731.2,10,54600,8,,2,2,2,2,127,185
74,,1,0,2,,2,1,2731.2,,60800,8,495,2,2,2,2,34,33
68,2,1,0,2,0,,1,2731.2,9,15600,4,495,2,2,2,2,42,33
52,1,4,0,2,,2,2,2731.2,7,21000,4,154,2,2,2,2,132,132
51,,6,0,,0,2,,2731.2,,5000,2,,2,1,2,2,138,132
72,,1,0,2,0,2,1,2731.2,7,34500,6,501,2,2,2,2,73,73
72,2,1,0,,0,2,1,2731.2,9,44000,7,,2,2,2,2,87,73
28,,6,4,8,0,,,2731.2,1,15000,3,,2,2,2,2,27,27
18,2,6,4,8,0,,1,2731.2,4,0,0,,2,2,2,2,43,27
30,2,6,1,3,2,3,2,2731.2,4,9300,2,45,1,2,2,2,61,61
,1,1,0,2,,4,1,2731.2,3,52300,7,244,2,1,2,2,97,96
74,2,1,0,2,0,4,1,2731.2,7,8300,2,244,2,2,2,2,118,96
25,2,6,0,2,0,,1,2731.2,5,4000,1,244,2,2,2,2,286,96
71,1,1,0,,0,4,1,2731.2,7,46100,7,239,2,2,2,2,60,61
,,1,0,2,0,4,1,2731.2,8,8300,2,239,2,2,2,2,71,61
40,2,4,0,2,0,,1,2731.2,10,9000,2,239,2,2,2,2,81,61
45,,4,0,2,0,2,2,2731.2,7,30000,5,186,2,2,2,2,120,121
19,1,6,0,2,0,2,2,2731.2,7,1400,1,186,2,2,2,2,134,121
30,,6,0,,2,3,2,2731.2,8,29700,5,,2,2,2,2,224,224
57,,6,0,,0,2,1,2731.2,,0,0,,2,2,2,2,153,154
59,,6,0,2,0,2,1,2731.2,5,13700,3,,2,2,2,2,163,154
87,2,3,0,1,0,2,1,2731.2,,12900,3,202,1,1,2,1,122,123
62,1,4,0,1,0,2,1,2731.2,5,18000,4,202,2,2,2,1,130,123
62,2,2,0,,0,2,1,2731.2,5,15000,3,332,2,2,2,2,136,136
29,,6,0,,,2,,2731.2,5,41600,7,332,2,2,2,2,291,136
48,,1,0,2,,,2,2731.2,8,56000,8,409,2,2,2,2,252,252
60,1,1,,2,0,2,2,2731.2,5,13500,3,409,2,2,2,2,147,252
74,2,3,0,2,0,2,1,2731.2,8,16000,4,412,2,2,2,2,55,55
45,2,4,0,2,0,2,1,2731.2,7,46800,7,412,2,2,2,2,88,55
56,,1,0,2,2,5,2,2731.2,6,140000,9,500,2,2,2,2,264,265
42,2,1,0,,,5,2,2731.2,4,8700,2,,2,1,2,2,261,265
17,1,6,0,2,2,5,2,2731.2,4,1200,1,,1,2,1,2,397,265
15,1,6,0,2,2,5,2,2731.2,3,0,0,500,1,2,2,,396,265
17,2,6,0,,2,5,,2731.2,4,1100,1,,2,2,2,2,253,265
