a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
zero,2.0,one,22.0,zero,zero,49.0,,32.0,zero_zero_zero_one_zero
one,1.0,zero,42.0,zero,zero,49.0,one,46.0,
one,2.0,,37.0,zero,three,39.0,one,,one_zero_zero_one_one
,1.0,zero,46.0,zero,zero,39.0,,40.0,
zero,,zero,,zero,one,71.0,one,17.0,
zero,0.0,zero,21.0,zero,,59.0,one,31.0,
zero,1.0,zero,8.0,zero,two,45.0,one,18.0,one_zero_zero_zero_zero
one,4.0,three,18.0,zero,one,59.0,one,10.0,zero_zero_zero_one_zero
one,3.0,two,38.0,zero,zero,49.0,one,48.0,one_zero_zero_one_one
zero,0.0,zero,17.0,zero,zero,55.0,one,,
,4.0,three,,zero,one,47.0,one,20.0,zero_zero_zero_one_zero
zero,3.0,,19.0,zero,zero,47.0,one,29.0,
one,,zero,16.0,zero,zero,,one,26.0,
one,9.0,zero,17.0,,two,39.0,one,1.0,
,2.0,zero,9.0,zero,zero,,one,2.0,one_zero_zero_zero_zero
one,1.0,,18.0,zero,zero,47.0,one,28.0,one_zero_zero_one_zero
zero,,zero,,zero,zero,39.0,one,21.0,one_zero_zero_zero_zero
,3.0,two,16.0,zero,zero,47.0,one,26.0,one_zero_zero_one_zero
zero,2.0,two,32.0,zero,two,,one,42.0,one_one_one_zero_zero
zero,2.0,,24.0,zero,zero,53.0,one,3.0,
zero,,two,38.0,zero,three,,one,48.0,
one,4.0,two,25.0,,two,41.0,one,10.0,
zero,3.0,two,65.0,zero,zero,39.0,one,45.0,
zero,3.0,one,18.0,zero,zero,39.0,one,18.0,zero_one_one_zero_zero
zero,3.0,zero,27.0,zero,one,47.0,one,15.0,
zero,6.0,four,57.0,zero,zero,39.0,one,67.0,zero_zero_zero_one_zero
zero,3.0,two,29.0,zero,two,47.0,one,13.0,one_one_zero_one_zero
one,,zero,16.0,zero,one,39.0,one,,
zero,5.0,zero,12.0,zero,,41.0,one,22.0,zero_one_zero_zero_zero
zero,3.0,two,30.0,,two,39.0,one,40.0,zero_zero_zero_one_one
one,4.0,three,30.0,zero,two,59.0,one,40.0,zero_zero_zero_one_one
one,2.0,,44.0,zero,two,63.0,one,28.0,zero_zero_zero_one_one
one,0.0,zero,16.0,zero,three,54.0,one,26.0,
zero,3.0,two,27.0,zero,,47.0,one,37.0,one_one_zero_one_zero
,,one,36.0,,,59.0,one,26.0,zero_zero_zero_one_zero
one,,zero,7.0,,one,39.0,one,17.0,zero_zero_zero_zero_zero
zero,1.0,zero,43.0,zero,zero,39.0,,12.0,
one,3.0,two,,zero,one,89.0,zero,31.0,
zero,3.0,two,,zero,zero,39.0,one,54.0,zero_zero_zero_one_one
,2.0,one,43.0,zero,two,39.0,one,30.0,zero_one_zero_one_zero
one,,three,39.0,zero,zero,47.0,one,40.0,
zero,2.0,two,25.0,zero,one,47.0,one,35.0,
one,3.0,two,14.0,zero,one,14.0,one,24.0,
one,0.0,zero,,zero,one,47.0,one,0.0,
zero,3.0,zero,34.0,zero,zero,97.0,one,22.0,one_zero_zero_zero_zero
zero,5.0,four,18.0,zero,,35.0,one,20.0,one_one_zero_one_zero
two,9.0,zero,,zero,two,29.0,one,,zero_zero_zero_zero_zero
zero,2.0,one,13.0,zero,zero,55.0,,23.0,zero_zero_zero_one_zero
two,4.0,,46.0,zero,three,3.0,one,56.0,zero_zero_zero_one_one
zero,2.0,zero,8.0,zero,one,5.0,one,18.0,zero_zero_zero_zero_zero
two,4.0,three,32.0,zero,three,59.0,one,42.0,zero_zero_zero_one_one
zero,2.0,zero,17.0,zero,one,47.0,one,20.0,
one,7.0,zero,11.0,zero,,23.0,one,12.0,
zero,2.0,one,17.0,zero,one,47.0,one,2.0,one_one_one_zero_zero
zero,5.0,two,51.0,zero,zero,29.0,one,3.0,one_zero_zero_one_zero
zero,2.0,one,36.0,zero,one,49.0,one,30.0,
one,3.0,two,31.0,zero,two,59.0,one,1.0,
one,1.0,,37.0,zero,two,49.0,one,13.0,
zero,3.0,one,58.0,zero,zero,78.0,one,14.0,one_zero_zero_one_zero
zero,2.0,one,33.0,zero,zero,39.0,one,41.0,zero_zero_zero_one_zero
,,zero,8.0,zero,one,9.0,one,18.0,
zero,2.0,one,12.0,zero,zero,24.0,one,22.0,
zero,2.0,one,17.0,zero,one,43.0,one,8.0,
one,3.0,two,33.0,zero,one,48.0,one,9.0,
zero,,zero,52.0,,zero,49.0,one,40.0,
zero,3.0,two,28.0,zero,one,55.0,one,38.0,one_zero_zero_one_zero
one,4.0,three,41.0,zero,zero,,one,51.0,
zero,5.0,four,23.0,zero,zero,39.0,,10.0,one_zero_zero_one_zero
,3.0,two,35.0,zero,zero,39.0,one,16.0,zero_zero_zero_one_zero
one,1.0,zero,52.0,zero,three,59.0,one,62.0,zero_zero_one_zero_one
zero,3.0,three,30.0,zero,,39.0,one,40.0,zero_one_one_zero_zero
one,3.0,two,45.0,zero,one,55.0,,55.0,zero_zero_zero_one_one
one,0.0,zero,26.0,zero,three,59.0,one,1.0,
one,3.0,two,46.0,zero,three,39.0,one,12.0,
zero,6.0,,10.0,zero,zero,47.0,one,20.0,
zero,4.0,,47.0,zero,zero,47.0,one,57.0,zero_one_zero_one_zero
one,3.0,,24.0,zero,one,47.0,one,19.0,zero_zero_zero_one_zero
one,,,44.0,zero,two,39.0,one,54.0,zero_zero_zero_one_one
zero,2.0,,11.0,zero,one,39.0,one,12.0,zero_zero_zero_one_zero
zero,4.0,zero,16.0,zero,zero,47.0,one,1.0,
zero,2.0,zero,8.0,zero,one,59.0,one,18.0,zero_zero_zero_zero_zero
zero,7.0,zero,7.0,zero,one,34.0,one,17.0,
zero,3.0,zero,13.0,zero,zero,49.0,one,23.0,one_zero_zero_zero_zero
zero,2.0,two,14.0,zero,zero,39.0,one,10.0,
zero,1.0,zero,15.0,zero,,,one,,one_zero_zero_one_zero
one,3.0,two,21.0,zero,one,54.0,one,27.0,
zero,3.0,one,30.0,,zero,94.0,one,,
one,7.0,,15.0,zero,one,47.0,one,24.0,zero_zero_zero_zero_zero
one,3.0,two,18.0,zero,zero,47.0,,4.0,one_zero_zero_one_zero
zero,3.0,two,17.0,zero,zero,39.0,one,27.0,one_one_zero_one_zero
one,0.0,zero,47.0,zero,three,39.0,one,,
one,3.0,two,,zero,one,39.0,one,30.0,
one,3.0,two,47.0,zero,zero,39.0,one,30.0,
zero,8.0,eight,42.0,zero,,39.0,one,5.0,zero_one_zero_zero_zero
zero,5.0,four,29.0,zero,one,55.0,one,3.0,
zero,1.0,zero,16.0,zero,,47.0,one,26.0,
zero,1.0,zero,52.0,,zero,47.0,one,38.0,
zero,3.0,two,28.0,zero,two,39.0,one,38.0,
zero,1.0,one,70.0,zero,zero,19.0,zero,80.0,one_one_one_zero_zero
,2.0,two,,zero,one,39.0,one,20.0,zero_one_zero_zero_zero
zero,7.0,two,32.0,zero,one,43.0,,30.0,zero_one_zero_zero_zero
two,3.0,two,38.0,zero,two,43.0,one,44.0,one_one_zero_one_zero
zero,2.0,one,45.0,zero,,39.0,one,16.0,zero_zero_zero_one_one
zero,3.0,zero,24.0,zero,two,39.0,one,14.0,zero_one_zero_zero_zero
zero,6.0,zero,39.0,zero,two,9.0,one,49.0,zero_one_zero_zero_zero
one,5.0,three,24.0,zero,,47.0,one,5.0,zero_zero_zero_one_one
one,2.0,one,29.0,zero,one,29.0,one,39.0,zero_zero_zero_one_one
one,2.0,one,32.0,zero,zero,69.0,one,17.0,
zero,2.0,zero,40.0,zero,zero,39.0,one,50.0,
zero,4.0,three,55.0,zero,zero,14.0,zero,65.0,
two,4.0,three,31.0,zero,two,77.0,one,35.0,zero_zero_zero_one_one
zero,4.0,three,19.0,zero,zero,29.0,one,2.0,one_one_zero_one_zero
zero,1.0,zero,12.0,zero,one,65.0,one,,
zero,5.0,zero,8.0,,zero,71.0,one,,
zero,4.0,three,35.0,zero,one,64.0,one,45.0,
one,2.0,two,44.0,zero,zero,44.0,one,54.0,
