age,job,education,balance,day,month,duration,campaign,pdays,previous,poutcome,y,combo
58.0,management,tertiary,2143.0,,may,,1.0,,0.0,unknown,no,
,technician,secondary,29.0,,may,151.0,1.0,0.0,0.0,unknown,no,single_no_yes_no_unknown
33.0,entrepreneur,,,5.0,,76.0,1.0,0.0,0.0,,no,
47.0,blue-collar,unknown,1506.0,5.0,,,,0.0,0.0,,,
33.0,unknown,unknown,1.0,,,,1.0,,0.0,unknown,no,
35.0,,tertiary,,5.0,may,139.0,1.0,0.0,0.0,,no,
28.0,,tertiary,447.0,,may,,1.0,,0.0,,no,
42.0,entrepreneur,,2.0,5.0,may,380.0,1.0,0.0,,,,
,,,121.0,,may,,1.0,0.0,,unknown,no,
43.0,,secondary,,5.0,,55.0,1.0,0.0,0.0,unknown,no,
,admin.,,270.0,5.0,may,222.0,1.0,0.0,,,no,
29.0,,secondary,,,,137.0,,0.0,0.0,unknown,no,
53.0,technician,secondary,,5.0,may,,1.0,0.0,0.0,,,
,technician,,,5.0,may,71.0,1.0,0.0,,,,
57.0,services,secondary,,5.0,may,174.0,1.0,0.0,0.0,,,
,retired,primary,,5.0,may,353.0,,0.0,0.0,unknown,no,
45.0,,unknown,13.0,,,98.0,,,0.0,unknown,no,single_no_yes_no_unknown
57.0,blue-collar,primary,52.0,5.0,may,,,,0.0,,,
,retired,,60.0,5.0,may,219.0,1.0,,,unknown,,
33.0,services,secondary,,,,54.0,1.0,0.0,,,no,married_no_yes_no_unknown
28.0,blue-collar,,,5.0,may,262.0,1.0,0.0,0.0,unknown,no,
56.0,management,tertiary,779.0,5.0,may,164.0,,0.0,0.0,unknown,,
32.0,blue-collar,primary,,5.0,may,,1.0,,0.0,unknown,no,
25.0,services,secondary,50.0,,may,342.0,,0.0,0.0,unknown,no,
40.0,retired,,0.0,5.0,may,181.0,1.0,0.0,0.0,unknown,no,
44.0,admin.,secondary,-372.0,5.0,may,,1.0,,0.0,unknown,no,
39.0,,tertiary,255.0,5.0,,,1.0,,0.0,unknown,no,
52.0,entrepreneur,secondary,113.0,5.0,may,127.0,,0.0,,,no,
,,secondary,-246.0,5.0,may,,2.0,0.0,0.0,unknown,no,
36.0,,secondary,,5.0,may,348.0,1.0,0.0,0.0,unknown,no,
57.0,technician,,839.0,5.0,may,225.0,1.0,0.0,0.0,,no,
49.0,,tertiary,,,may,230.0,,,0.0,,no,
60.0,,,39.0,5.0,may,208.0,1.0,0.0,0.0,,no,
59.0,blue-collar,secondary,0.0,5.0,may,226.0,,0.0,0.0,unknown,no,
,,tertiary,,5.0,may,336.0,1.0,0.0,0.0,,no,
,technician,secondary,,5.0,may,242.0,1.0,0.0,0.0,,,
25.0,blue-collar,,-7.0,,may,365.0,1.0,0.0,0.0,unknown,,
53.0,technician,secondary,,,may,1666.0,,,0.0,,,
,,,506.0,5.0,may,577.0,1.0,0.0,,unknown,,
,,secondary,0.0,,,137.0,1.0,,0.0,unknown,no,single_no_yes_no_unknown
,services,,2586.0,5.0,may,160.0,1.0,0.0,,,,
50.0,management,secondary,49.0,5.0,,180.0,2.0,0.0,0.0,unknown,,
60.0,blue-collar,,,5.0,may,22.0,1.0,0.0,0.0,unknown,,
,retired,secondary,529.0,,,1492.0,,0.0,0.0,unknown,,
58.0,retired,,,,may,616.0,1.0,0.0,0.0,,no,
36.0,admin.,primary,-171.0,5.0,may,242.0,1.0,0.0,0.0,unknown,no,
58.0,self-employed,tertiary,,5.0,,355.0,1.0,0.0,0.0,unknown,,
