marital-status,education,workclass
Never-married,Bachelors,State-gov
Married-civ-spouse,Bachelors,Self-emp-not-inc
Divorced,HS-grad,Private
Married-civ-spouse,11th,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,Masters,Private
Married-spouse-absent,9th,Private
,HS-grad,
Never-married,Masters,Private
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,Some-college,
Married-civ-spouse,Bachelors,State-gov
Never-married,Bachelors,Private
Never-married,Assoc-acdm,Private
Married-civ-spouse,Assoc-voc,Private
Married-civ-spouse,7th-8th,Private
Never-married,HS-grad,Self-emp-not-inc
Never-married,HS-grad,Private
Married-civ-spouse,11th,Private
,Masters,Self-emp-not-inc
Married-civ-spouse,Doctorate,Private
Separated,HS-grad,Private
Married-civ-spouse,9th,Federal-gov
Married-civ-spouse,11th,Private
Divorced,HS-grad,Private
Married-civ-spouse,Bachelors,Local-gov
,HS-grad,Private
Divorced,HS-grad,
Married-civ-spouse,HS-grad,Private
Never-married,Assoc-acdm,Local-gov
Never-married,Some-college,Private
,Bachelors,Private
,Some-college,Federal-gov
,Some-college,
Never-married,11th,Private
Never-married,Some-college,Private
Married-AF-spouse,HS-grad,Private
Married-civ-spouse,Some-college,Private
,Assoc-acdm,Self-emp-not-inc
Married-civ-spouse,9th,Private
Married-civ-spouse,Bachelors,Self-emp-not-inc
,Bachelors,Private
Separated,HS-grad,Private
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Federal-gov
Married-civ-spouse,HS-grad,Private
Divorced,Masters,Private
Married-civ-spouse,Assoc-voc,State-gov
Never-married,Assoc-voc,Private
Married-civ-spouse,Some-college,Private
,HS-grad,Private
,Prof-school,
Divorced,Bachelors,Federal-gov
,HS-grad,Self-emp-inc
Married-civ-spouse,Some-college,Private
Married-civ-spouse,5th-6th,Private
Married-civ-spouse,Assoc-voc,Private
Married-civ-spouse,HS-grad,
Married-civ-spouse,HS-grad,
Married-civ-spouse,Bachelors,Private
Married-civ-spouse,HS-grad,Private
,Doctorate,
,Some-college,Private
,HS-grad,Private
Divorced,Some-college,
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Some-college,Self-emp-inc
,Some-college,Private
Separated,Bachelors,Private
Married-civ-spouse,Bachelors,Self-emp-not-inc
Never-married,Some-college,Private
Married-civ-spouse,Some-college,
Never-married,HS-grad,
Married-civ-spouse,Assoc-acdm,Private
Never-married,11th,Private
Married-civ-spouse,7th-8th,Local-gov
Never-married,HS-grad,
Married-civ-spouse,Bachelors,Private
,HS-grad,Private
Married-civ-spouse,HS-grad,Private
,HS-grad,Private
Divorced,HS-grad,Private
Married-civ-spouse,HS-grad,
Married-civ-spouse,Masters,Private
Never-married,9th,Private
Never-married,Doctorate,Federal-gov
,Assoc-voc,Private
Divorced,Some-college,Private
,Some-college,Private
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,Bachelors,Local-gov
Never-married,Some-college,Local-gov
Married-civ-spouse,Doctorate,Self-emp-not-inc
Married-civ-spouse,Some-college,
Divorced,Assoc-acdm,Private
,HS-grad,Federal-gov
Married-civ-spouse,Masters,Private
Married-civ-spouse,Bachelors,Private
Never-married,Masters,Self-emp-not-inc
Never-married,Some-college,
,HS-grad,Private
Married-civ-spouse,HS-grad,Self-emp-inc
Never-married,11th,Private
Never-married,HS-grad,Local-gov
Married-civ-spouse,HS-grad,Private
,Bachelors,Private
,Prof-school,
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Some-college,Private
Never-married,HS-grad,
Married-civ-spouse,9th,Private
Married-civ-spouse,Some-college,Self-emp-inc
Married-civ-spouse,Assoc-voc,Local-gov
,Some-college,Private
Never-married,HS-grad,Private
Never-married,Some-college,Private
Married-civ-spouse,Bachelors,Private
Never-married,Bachelors,Private
Married-civ-spouse,Bachelors,State-gov
Never-married,Some-college,
Married-civ-spouse,Bachelors,Private
,Some-college,
Married-civ-spouse,Assoc-acdm,Private
,Some-college,
Never-married,Assoc-acdm,Private
,HS-grad,
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Bachelors,Private
Divorced,Assoc-acdm,Private
Married-civ-spouse,Masters,Federal-gov
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Assoc-voc,Private
Never-married,Some-college,Private
,Some-college,
Married-civ-spouse,HS-grad,Self-emp-inc
Never-married,Some-college,
Never-married,Some-college,Private
Never-married,Assoc-voc,Private
,Some-college,
Never-married,HS-grad,Private
,Some-college,Private
Widowed,HS-grad,Private
Married-civ-spouse,11th,Private
Divorced,Some-college,Local-gov
,HS-grad,
Never-married,Bachelors,Private
,HS-grad,Private
Married-civ-spouse,HS-grad,Private
,Bachelors,Private
,Some-college,Self-emp-not-inc
Divorced,HS-grad,Private
Separated,Bachelors,Private
,HS-grad,Private
,Masters,Self-emp-inc
Never-married,HS-grad,Private
Married-civ-spouse,Masters,Self-emp-not-inc
Divorced,Some-college,Private
Never-married,Assoc-acdm,Federal-gov
,Masters,State-gov
Never-married,11th,Private
Widowed,Assoc-voc,Local-gov
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,State-gov
Married-civ-spouse,Some-college,Private
Never-married,Bachelors,Private
Married-civ-spouse,Bachelors,State-gov
Married-spouse-absent,HS-grad,Private
Never-married,HS-grad,
Never-married,HS-grad,
