marital-status,education,workclass
,Bachelors,
Married-civ-spouse,Bachelors,Self-emp-not-inc
,HS-grad,Private
,11th,
,Bachelors,
,Masters,
,9th,Private
Married-civ-spouse,HS-grad,
,Masters,
,Bachelors,
Married-civ-spouse,Some-college,
,Bachelors,
,Bachelors,Private
,Assoc-acdm,
Married-civ-spouse,Assoc-voc,
,7th-8th,Private
,HS-grad,Self-emp-not-inc
Never-married,HS-grad,
,11th,Private
,Masters,
,Doctorate,
,HS-grad,
,9th,
,11th,Private
Divorced,HS-grad,
,Bachelors,
,HS-grad,Private
,HS-grad,
,HS-grad,
,Assoc-acdm,
,Some-college,
,Bachelors,Private
Married-civ-spouse,Some-college,
Married-civ-spouse,Some-college,
,11th,Private
,Some-college,
,HS-grad,
,Some-college,
,Assoc-acdm,
,9th,
,Bachelors,Self-emp-not-inc
,Bachelors,Private
Separated,HS-grad,
,HS-grad,
,Bachelors,
,HS-grad,
,Masters,
,Assoc-voc,
Never-married,Assoc-voc,
Married-civ-spouse,Some-college,
,HS-grad,
,Prof-school,
,Bachelors,
,HS-grad,
,Some-college,
,5th-6th,
,Assoc-voc,
,HS-grad,
,HS-grad,
,Bachelors,
,HS-grad,Private
,Doctorate,
,Some-college,
Married-civ-spouse,HS-grad,
,Some-college,
,HS-grad,
,Some-college,
Never-married,Some-college,
,Bachelors,
,Bachelors,
,Some-college,
,Some-college,
,HS-grad,
,Assoc-acdm,
,11th,Private
,7th-8th,
,HS-grad,
,Bachelors,Private
,HS-grad,
,HS-grad,
,HS-grad,
,HS-grad,
,HS-grad,
,Masters,
,9th,
Never-married,Doctorate,
,Assoc-voc,
,Some-college,
Divorced,Some-college,
,HS-grad,Private
,Bachelors,
,Some-college,
,Doctorate,
Married-civ-spouse,Some-college,
,Assoc-acdm,
,HS-grad,
,Masters,
,Bachelors,
,Masters,
Never-married,Some-college,
,HS-grad,
,HS-grad,
,11th,Private
Never-married,HS-grad,
,HS-grad,
,Bachelors,Private
Married-civ-spouse,Prof-school,
Married-civ-spouse,HS-grad,
Married-civ-spouse,Some-college,
Never-married,HS-grad,
,9th,
Married-civ-spouse,Some-college,
,Assoc-voc,
,Some-college,
,HS-grad,
Never-married,Some-college,
,Bachelors,
,Bachelors,
,Bachelors,
Never-married,Some-college,
,Bachelors,
,Some-college,
,Assoc-acdm,Private
,Some-college,
,Assoc-acdm,
,HS-grad,
,HS-grad,
,Bachelors,
,Assoc-acdm,Private
,Masters,Federal-gov
,HS-grad,Self-emp-not-inc
,Assoc-voc,
Never-married,Some-college,
,Some-college,Private
,HS-grad,
,Some-college,
,Some-college,
Never-married,Assoc-voc,Private
Never-married,Some-college,
,HS-grad,
,Some-college,
,HS-grad,
,11th,Private
,Some-college,
,HS-grad,
,Bachelors,
,HS-grad,
Married-civ-spouse,HS-grad,
,Bachelors,
,Some-college,
,HS-grad,
,Bachelors,
Never-married,HS-grad,
Divorced,Masters,
,HS-grad,Private
,Masters,
Divorced,Some-college,
,Assoc-acdm,
,Masters,
,11th,
,Assoc-voc,
Never-married,HS-grad,
,HS-grad,
Married-civ-spouse,Some-college,
Never-married,Bachelors,
,Bachelors,
,HS-grad,
Never-married,HS-grad,
,HS-grad,Private
,HS-grad,
,Bachelors,
,Some-college,
Divorced,Some-college,
Never-married,Some-college,
,7th-8th,
Married-civ-spouse,Some-college,
,HS-grad,
,Bachelors,
,Masters,
,Doctorate,
Divorced,Some-college,
,Some-college,
,Bachelors,
Married-civ-spouse,Some-college,
,Bachelors,
,5th-6th,Private
Divorced,Some-college,
,Masters,
,Masters,Private
,HS-grad,
,Masters,
,Bachelors,
,Some-college,
,HS-grad,
,11th,Private
,Bachelors,
Divorced,HS-grad,
,HS-grad,Self-emp-inc
,11th,Private
Married-civ-spouse,HS-grad,
Married-civ-spouse,HS-grad,
,Some-college,
,HS-grad,
,7th-8th,
,Bachelors,
,Assoc-acdm,Private
,Bachelors,
,Bachelors,
,10th,Private
,Some-college,
,HS-grad,
,HS-grad,
,Preschool,
,HS-grad,
Married-civ-spouse,HS-grad,
,Assoc-voc,Private
,HS-grad,
,11th,Private
Divorced,HS-grad,
Never-married,Some-college,
Divorced,Some-college,
,Prof-school,
,HS-grad,
,Some-college,
,Bachelors,
,Masters,
,HS-grad,
,Bachelors,
,HS-grad,Self-emp-not-inc
,Assoc-acdm,State-gov
Divorced,Some-college,Private
,HS-grad,
,HS-grad,
,HS-grad,
Married-civ-spouse,Assoc-acdm,Private
,HS-grad,Private
,Prof-school,
,Bachelors,
,10th,Local-gov
,Some-college,
,Some-college,
,HS-grad,Self-emp-not-inc
,HS-grad,
,HS-grad,
,Assoc-voc,
,7th-8th,
,Bachelors,Private
,HS-grad,
,11th,Private
Married-civ-spouse,Some-college,
,11th,Private
,Some-college,
,HS-grad,
,Bachelors,
,HS-grad,
,HS-grad,
,9th,Private
,Masters,
,Masters,
,HS-grad,Private
,HS-grad,
Married-civ-spouse,Some-college,
,Some-college,
,Some-college,
,Some-college,
,Bachelors,
,Some-college,
,Assoc-acdm,Private
,Bachelors,
,HS-grad,
Married-civ-spouse,Masters,
,Prof-school,
Divorced,Some-college,
,Bachelors,
,7th-8th,
,Bachelors,Private
,HS-grad,
,Bachelors,
Never-married,Some-college,
Never-married,Bachelors,
,HS-grad,Private
,Bachelors,
Never-married,HS-grad,
,HS-grad,
,Bachelors,
Never-married,Some-college,
,HS-grad,
,HS-grad,
,Some-college,
,HS-grad,
,Assoc-acdm,
,Assoc-acdm,
Married-civ-spouse,Assoc-acdm,Private
,Some-college,
,Bachelors,
,Masters,
,Bachelors,
,Some-college,
,Some-college,
,Some-college,
,5th-6th,
Never-married,Some-college,
,HS-grad,Private
,HS-grad,
Married-civ-spouse,Some-college,
,HS-grad,
,11th,
,Masters,
,HS-grad,
Married-civ-spouse,Some-college,
Married-civ-spouse,HS-grad,Self-emp-not-inc
,HS-grad,
,Some-college,
,Bachelors,
,Assoc-voc,
,10th,
,HS-grad,
,5th-6th,
,HS-grad,
,Masters,
Never-married,HS-grad,
,HS-grad,
,Assoc-acdm,Private
,Assoc-voc,
,HS-grad,
,HS-grad,
Never-married,Some-college,
,Bachelors,
,Assoc-acdm,
,Bachelors,
,Bachelors,Private
,HS-grad,
,Bachelors,
,11th,Local-gov
,HS-grad,
,11th,Private
,Assoc-voc,
,HS-grad,
,9th,
,10th,Private
,Masters,
,Bachelors,
,Bachelors,
,HS-grad,
,HS-grad,
,Some-college,
,Assoc-acdm,
,Bachelors,
,HS-grad,
Never-married,Some-college,
,11th,Private
,Assoc-voc,
,HS-grad,
Never-married,HS-grad,
,Some-college,Local-gov
,HS-grad,Private
,Some-college,
,Masters,
,HS-grad,
,HS-grad,Private
,5th-6th,Private
,Some-college,
,Some-college,
,Some-college,
Never-married,HS-grad,
,HS-grad,
,Some-college,
,Some-college,
,HS-grad,Private
,HS-grad,Private
,Bachelors,
,Assoc-acdm,
,Bachelors,
,HS-grad,
,Some-college,
,Some-college,
,Bachelors,
,Bachelors,
,Some-college,
,Some-college,
,Bachelors,
,Assoc-voc,
,7th-8th,
Married-civ-spouse,Masters,
,HS-grad,
,HS-grad,
,Some-college,
,Some-college,
,HS-grad,
,Some-college,
,Doctorate,
Married-civ-spouse,Some-college,
,12th,Private
,1st-4th,
,11th,Private
,11th,
,HS-grad,
,Some-college,
,11th,Private
,Bachelors,
,HS-grad,
,10th,Private
,HS-grad,
,Masters,
,HS-grad,Private
,HS-grad,
,Masters,
,Bachelors,
Married-civ-spouse,Assoc-acdm,
,Some-college,
,Masters,
,HS-grad,
Never-married,Some-college,
,Some-college,
,Some-college,
,Bachelors,Private
,HS-grad,Private
,HS-grad,Federal-gov
,Some-college,
,9th,Private
,Some-college,
Widowed,HS-grad,
,HS-grad,
,HS-grad,
,HS-grad,Private
,Some-college,
,HS-grad,
,Assoc-acdm,
,HS-grad,
,Assoc-voc,
,HS-grad,Private
,Some-college,
,HS-grad,
,Assoc-acdm,
,HS-grad,
,Bachelors,
,1st-4th,
,Bachelors,
,HS-grad,
,HS-grad,
Married-civ-spouse,Some-college,
,Masters,Private
,Bachelors,
Never-married,Some-college,
,HS-grad,
Never-married,HS-grad,
,Assoc-voc,Private
,Bachelors,
,9th,Private
,Some-college,
,10th,Private
Never-married,HS-grad,
,Assoc-acdm,
Married-civ-spouse,Some-college,
,Bachelors,
,HS-grad,
Married-spouse-absent,Some-college,Private
,HS-grad,
Divorced,Bachelors,
,Bachelors,
,HS-grad,
,HS-grad,
,Assoc-acdm,
,HS-grad,Private
,Bachelors,Private
,HS-grad,
,Some-college,
,5th-6th,Private
Never-married,Some-college,
,HS-grad,
,HS-grad,
,Some-college,
,Some-college,
,Bachelors,Private
,Bachelors,
,Some-college,
,Some-college,
,HS-grad,Local-gov
Divorced,HS-grad,
,Assoc-voc,
,Assoc-voc,Private
Married-civ-spouse,Some-college,
,HS-grad,
,Some-college,
,Bachelors,Private
,Bachelors,
,HS-grad,
,Some-college,
Married-civ-spouse,Some-college,
,Some-college,
,Some-college,
,Bachelors,
,Some-college,Private
,HS-grad,
,Masters,
,11th,Private
,HS-grad,
Married-civ-spouse,HS-grad,
,Assoc-acdm,
Married-civ-spouse,Prof-school,
,12th,
,1st-4th,
,Assoc-voc,
,Bachelors,Self-emp-inc
Married-civ-spouse,Some-college,
,Doctorate,
Never-married,Some-college,
Never-married,HS-grad,
,Some-college,
,HS-grad,Private
,10th,Private
Married-civ-spouse,Some-college,
Never-married,HS-grad,
,Some-college,
,Some-college,Self-emp-not-inc
,HS-grad,
,11th,Private
,HS-grad,
,Assoc-voc,Federal-gov
,11th,Private
,HS-grad,
,HS-grad,
,HS-grad,
,11th,
,Bachelors,
,Bachelors,
,Some-college,
,HS-grad,
Married-civ-spouse,Bachelors,
Never-married,HS-grad,
Married-civ-spouse,Masters,
,7th-8th,Private
,HS-grad,
,Masters,
,HS-grad,Private
,HS-grad,
,11th,Private
,Assoc-voc,Private
,Doctorate,
Married-civ-spouse,Bachelors,
,Assoc-acdm,
,Bachelors,
Married-civ-spouse,Some-college,
,HS-grad,
Married-civ-spouse,HS-grad,
Married-civ-spouse,HS-grad,
,Bachelors,
,Some-college,
Never-married,Some-college,
,11th,Private
,10th,
,Bachelors,
,7th-8th,Private
,Bachelors,
,Bachelors,
,HS-grad,
,Prof-school,
,Some-college,
,Bachelors,Private
,Bachelors,
Never-married,Some-college,
Divorced,7th-8th,
,9th,
,Assoc-acdm,
,HS-grad,
,Masters,Private
,HS-grad,
,HS-grad,
,10th,
Divorced,Masters,Private
Never-married,HS-grad,
,HS-grad,Private
Never-married,Bachelors,
,Bachelors,
,HS-grad,
,HS-grad,
,HS-grad,
,Bachelors,
,Prof-school,
,Bachelors,
,11th,Private
Widowed,9th,
,Assoc-voc,Private
,9th,
,HS-grad,
,HS-grad,
Married-civ-spouse,HS-grad,Self-emp-not-inc
Married-civ-spouse,Some-college,
,Bachelors,
,Some-college,
,10th,Local-gov
,Some-college,
,Bachelors,Private
Married-civ-spouse,HS-grad,
,HS-grad,
,Bachelors,
,Bachelors,
,5th-6th,
,Doctorate,
,HS-grad,Private
,HS-grad,Private
Never-married,Some-college,
,Some-college,
Married-civ-spouse,Some-college,
,Doctorate,
,HS-grad,
,HS-grad,
,Bachelors,
,Some-college,
,HS-grad,
,Doctorate,
,Some-college,
,HS-grad,
Never-married,Some-college,State-gov
,HS-grad,
,7th-8th,
Married-civ-spouse,HS-grad,
,12th,Self-emp-not-inc
Never-married,Masters,
,Some-college,
Never-married,Masters,
Never-married,Some-college,
,Assoc-acdm,
,Some-college,
,HS-grad,
,9th,
,Some-college,
,11th,Self-emp-not-inc
,Bachelors,
,HS-grad,
,HS-grad,
,12th,Private
,Some-college,
,HS-grad,
,HS-grad,
,HS-grad,
,Assoc-voc,Private
,HS-grad,Self-emp-not-inc
,Some-college,
,11th,State-gov
,HS-grad,
,Bachelors,Local-gov
Never-married,Masters,Private
,HS-grad,
,Some-college,
,Some-college,
Married-civ-spouse,Some-college,
Never-married,Some-college,
,Bachelors,State-gov
,Masters,
Married-civ-spouse,Masters,
,Bachelors,
,HS-grad,
,Bachelors,
,Bachelors,
,Some-college,
,Some-college,
Divorced,Doctorate,
Divorced,Bachelors,Private
,12th,Private
,Some-college,
Married-civ-spouse,HS-grad,
,11th,
,Bachelors,
,Some-college,
,Bachelors,
,Assoc-voc,
,Bachelors,
Separated,HS-grad,Private
,HS-grad,
,HS-grad,
Never-married,Some-college,
,Bachelors,
Never-married,HS-grad,
,HS-grad,Private
Never-married,Bachelors,
,HS-grad,
,Bachelors,
Never-married,Bachelors,
,HS-grad,
Never-married,Some-college,
,HS-grad,
,11th,Self-emp-not-inc
,Some-college,
,Some-college,
,Assoc-voc,Private
,Assoc-voc,
Married-civ-spouse,Some-college,
Never-married,Some-college,
,Bachelors,
,HS-grad,
,Bachelors,
Never-married,Some-college,
,HS-grad,
,Masters,
,Assoc-voc,
,12th,Private
,Bachelors,Local-gov
,HS-grad,
,Some-college,Private
,11th,Private
,Bachelors,
,Bachelors,
,Bachelors,
,10th,Self-emp-not-inc
,HS-grad,
,HS-grad,
,Assoc-voc,
,HS-grad,
,Bachelors,Local-gov
,HS-grad,
Never-married,HS-grad,
,HS-grad,
,HS-grad,
,HS-grad,
,Doctorate,Self-emp-inc
,Bachelors,
,10th,Private
,Some-college,State-gov
,Some-college,
Divorced,Bachelors,Self-emp-not-inc
,HS-grad,
Never-married,Some-college,
,5th-6th,
,HS-grad,
,Assoc-voc,Private
Never-married,HS-grad,
,Assoc-voc,Local-gov
,Some-college,Private
,Masters,
,Bachelors,Private
,Some-college,
,Some-college,
Never-married,Assoc-voc,
,Assoc-voc,
Married-civ-spouse,Some-college,Self-emp-not-inc
,Bachelors,
,Some-college,
Married-civ-spouse,HS-grad,
,12th,
,Assoc-voc,
,Bachelors,Self-emp-inc
Never-married,HS-grad,
,HS-grad,
,Some-college,
,HS-grad,
,HS-grad,
,Masters,
,Bachelors,
,Assoc-acdm,
,HS-grad,Private
,11th,Self-emp-not-inc
,HS-grad,
,11th,Private
,HS-grad,
,Bachelors,
,Bachelors,
,HS-grad,
Separated,HS-grad,
,Some-college,
,Some-college,
,10th,Private
,HS-grad,Self-emp-not-inc
,Assoc-voc,
Married-civ-spouse,Some-college,
,HS-grad,
,HS-grad,
Never-married,Assoc-voc,
Never-married,Masters,
,Assoc-voc,
,HS-grad,
,HS-grad,
,HS-grad,
,HS-grad,
,HS-grad,
,Some-college,
Never-married,Bachelors,Self-emp-inc
Married-civ-spouse,Some-college,
,Some-college,
Married-civ-spouse,HS-grad,Self-emp-not-inc
,HS-grad,
,HS-grad,
,Bachelors,
Never-married,Bachelors,
,HS-grad,
,11th,Private
,Some-college,
,Some-college,
,Bachelors,
,HS-grad,
,Some-college,
,HS-grad,
,Bachelors,
,Bachelors,
,HS-grad,
Widowed,Masters,
,Assoc-voc,
,HS-grad,
,Bachelors,Private
Divorced,Doctorate,
,HS-grad,Private
,HS-grad,
,HS-grad,
,Bachelors,
Never-married,Bachelors,
,11th,
,HS-grad,
,11th,Private
Married-civ-spouse,Some-college,
,HS-grad,
Never-married,Some-college,
,10th,Private
,11th,Private
Married-civ-spouse,Some-college,
,Bachelors,
,Bachelors,Private
Never-married,Some-college,Private
,Masters,
,Bachelors,
,5th-6th,
,Bachelors,
Never-married,HS-grad,Private
,Assoc-voc,Private
,HS-grad,
,HS-grad,
,9th,
,Bachelors,
,HS-grad,Private
,Bachelors,Private
,Some-college,
,Bachelors,
,Some-college,
Married-civ-spouse,HS-grad,
,Assoc-voc,Private
,Bachelors,
,Assoc-voc,
,Bachelors,
,Prof-school,
,Masters,
Divorced,Some-college,
,Bachelors,
,Bachelors,Private
,HS-grad,
,7th-8th,Local-gov
,9th,
,HS-grad,
Never-married,HS-grad,
,HS-grad,
Divorced,Some-college,
,Bachelors,
Divorced,HS-grad,
,Some-college,
Never-married,HS-grad,
,Some-college,
,10th,
,Some-college,
Never-married,HS-grad,
Married-civ-spouse,Bachelors,
,Masters,
Married-civ-spouse,HS-grad,
,HS-grad,
Never-married,Some-college,
,Some-college,
,Some-college,
,5th-6th,
,Some-college,
,HS-grad,
,HS-grad,
,Masters,
,Some-college,
,1st-4th,Private
,HS-grad,Private
,Preschool,
,HS-grad,Private
,11th,Private
,HS-grad,
,Masters,
,Prof-school,
,HS-grad,Private
,Bachelors,
,Assoc-acdm,
,HS-grad,
,HS-grad,
Never-married,HS-grad,
Married-civ-spouse,HS-grad,
,Some-college,
Divorced,Some-college,
,Bachelors,Self-emp-inc
Divorced,Some-college,
Divorced,Some-college,
,HS-grad,
,Masters,
,7th-8th,Private
,HS-grad,
Married-civ-spouse,Some-college,
,10th,Private
,Some-college,
,10th,Local-gov
,Bachelors,
,Assoc-acdm,Private
,Some-college,
,HS-grad,
,Bachelors,
,10th,Private
,HS-grad,
,HS-grad,
Married-civ-spouse,Some-college,
,HS-grad,
,Bachelors,
Married-civ-spouse,HS-grad,
,Bachelors,
,Bachelors,
,HS-grad,
,HS-grad,
Never-married,Some-college,
,Some-college,
,Masters,State-gov
,HS-grad,
,HS-grad,
Never-married,HS-grad,
,Assoc-acdm,Private
,HS-grad,
,HS-grad,Local-gov
,Assoc-voc,
,HS-grad,
,HS-grad,
,HS-grad,
,Some-college,
,Bachelors,
,Assoc-voc,
Married-civ-spouse,HS-grad,
Married-civ-spouse,HS-grad,
,HS-grad,Private
,HS-grad,
,Masters,Private
,Bachelors,Federal-gov
Married-civ-spouse,Some-college,
,Bachelors,
Never-married,Some-college,
