education,marital-status
Bachelors,Never-married
Bachelors,Married-civ-spouse
HS-grad,Divorced
11th,Married-civ-spouse
,Married-civ-spouse
,Married-civ-spouse
9th,Married-spouse-absent
HS-grad,Married-civ-spouse
Masters,Never-married
Bachelors,Married-civ-spouse
Some-college,Married-civ-spouse
Bachelors,Married-civ-spouse
Bachelors,Never-married
,Never-married
Assoc-voc,Married-civ-spouse
7th-8th,Married-civ-spouse
,Never-married
HS-grad,Never-married
11th,Married-civ-spouse
Masters,Divorced
,Married-civ-spouse
,Separated
9th,Married-civ-spouse
11th,Married-civ-spouse
,Divorced
Bachelors,Married-civ-spouse
HS-grad,Never-married
,Married-civ-spouse
HS-grad,Divorced
HS-grad,Married-civ-spouse
,Never-married
,Never-married
,Divorced
,Married-civ-spouse
Some-college,Married-civ-spouse
11th,Never-married
,Never-married
HS-grad,Married-AF-spouse
Some-college,Married-civ-spouse
,Married-civ-spouse
9th,Married-civ-spouse
,Married-civ-spouse
Bachelors,Married-civ-spouse
,Separated
,Never-married
Bachelors,Married-civ-spouse
,Married-civ-spouse
Masters,Divorced
Assoc-voc,Married-civ-spouse
,Never-married
,Married-civ-spouse
HS-grad,Never-married
Prof-school,Married-civ-spouse
Bachelors,Divorced
HS-grad,Divorced
,Married-civ-spouse
,Married-civ-spouse
,Married-civ-spouse
,Married-civ-spouse
,Married-civ-spouse
Bachelors,Married-civ-spouse
7th-8th,Married-spouse-absent
,Married-civ-spouse
,Married-civ-spouse
,Divorced
,Married-civ-spouse
Some-college,Divorced
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
Some-college,Never-married
,Never-married
,Separated
Bachelors,Married-civ-spouse
Some-college,Never-married
Some-college,Married-civ-spouse
,Never-married
Assoc-acdm,Married-civ-spouse
10th,Married-civ-spouse
11th,Never-married
,Married-civ-spouse
,Never-married
Bachelors,Married-civ-spouse
,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Divorced
HS-grad,Divorced
HS-grad,Married-civ-spouse
,Married-civ-spouse
,Never-married
Doctorate,Never-married
,Married-civ-spouse
Some-college,Divorced
,Divorced
,Married-civ-spouse
,Married-civ-spouse
Some-college,Never-married
Doctorate,Married-civ-spouse
,Married-civ-spouse
Assoc-acdm,Divorced
,Never-married
