education,marital-status
Bachelors,Never-married
Bachelors,Married-civ-spouse
HS-grad,Divorced
11th,Married-civ-spouse
Bachelors,
Masters,Married-civ-spouse
,Married-spouse-absent
HS-grad,Married-civ-spouse
Masters,Never-married
Bachelors,
Some-college,Married-civ-spouse
Bachelors,
Bachelors,Never-married
Assoc-acdm,
Assoc-voc,Married-civ-spouse
7th-8th,Married-civ-spouse
HS-grad,Never-married
HS-grad,Never-married
11th,Married-civ-spouse
Masters,Divorced
Doctorate,Married-civ-spouse
HS-grad,Separated
9th,Married-civ-spouse
11th,Married-civ-spouse
HS-grad,Divorced
Bachelors,Married-civ-spouse
HS-grad,Never-married
Some-college,Married-civ-spouse
HS-grad,Divorced
HS-grad,Married-civ-spouse
Assoc-acdm,Never-married
Some-college,Never-married
Bachelors,Divorced
Some-college,Married-civ-spouse
Some-college,Married-civ-spouse
11th,Never-married
Some-college,Never-married
HS-grad,Married-AF-spouse
Some-college,Married-civ-spouse
Assoc-acdm,
9th,Married-civ-spouse
Bachelors,Married-civ-spouse
Bachelors,Married-civ-spouse
HS-grad,Separated
HS-grad,Never-married
Bachelors,Married-civ-spouse
HS-grad,Married-civ-spouse
,Divorced
Assoc-voc,Married-civ-spouse
Assoc-voc,
Some-college,Married-civ-spouse
HS-grad,Never-married
Prof-school,Married-civ-spouse
Bachelors,Divorced
,Divorced
Some-college,Married-civ-spouse
5th-6th,Married-civ-spouse
Assoc-voc,Married-civ-spouse
HS-grad,
HS-grad,Married-civ-spouse
,Married-civ-spouse
7th-8th,Married-spouse-absent
HS-grad,Married-civ-spouse
Doctorate,Married-civ-spouse
,Divorced
HS-grad,Married-civ-spouse
Some-college,Divorced
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
Some-college,Never-married
Some-college,Never-married
Bachelors,Separated
Bachelors,Married-civ-spouse
Some-college,Never-married
Some-college,Married-civ-spouse
HS-grad,
Assoc-acdm,Married-civ-spouse
10th,Married-civ-spouse
11th,Never-married
7th-8th,Married-civ-spouse
HS-grad,Never-married
Bachelors,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Divorced
HS-grad,Divorced
HS-grad,Married-civ-spouse
Masters,Married-civ-spouse
9th,Never-married
Doctorate,Never-married
Assoc-voc,Married-civ-spouse
Some-college,Divorced
Some-college,Divorced
HS-grad,Married-civ-spouse
,Married-civ-spouse
Some-college,Never-married
Doctorate,Married-civ-spouse
Some-college,Married-civ-spouse
Assoc-acdm,
HS-grad,Never-married
