marital-status,education,workclass
,Bachelors,
Married-civ-spouse,,
,,Private
,,Private
,,
Married-civ-spouse,,Private
Married-spouse-absent,9th,
,HS-grad,
,,
,,Private
Married-civ-spouse,Some-college,Private
Married-civ-spouse,,
Never-married,Bachelors,
,,
Married-civ-spouse,,Private
,7th-8th,
,,Self-emp-not-inc
,HS-grad,Private
Married-civ-spouse,,Private
,,Self-emp-not-inc
,Doctorate,Private
,HS-grad,
Married-civ-spouse,,Federal-gov
Married-civ-spouse,,
Divorced,,Private
Married-civ-spouse,Bachelors,
Never-married,HS-grad,
Divorced,,Private
Married-civ-spouse,,
Never-married,,Local-gov
Never-married,,Private
,,Private
,,Federal-gov
Married-civ-spouse,,State-gov
Never-married,,
,Some-college,
Married-AF-spouse,,Private
,Some-college,
,,Self-emp-not-inc
Married-civ-spouse,,Private
Married-civ-spouse,,
Married-civ-spouse,,
Separated,HS-grad,
,HS-grad,
Married-civ-spouse,Bachelors,Federal-gov
Married-civ-spouse,,Private
Divorced,,Private
Married-civ-spouse,Assoc-voc,
,Assoc-voc,
,Some-college,
,HS-grad,
Married-civ-spouse,,Private
,,Federal-gov
Divorced,,Self-emp-inc
,Some-college,
,5th-6th,
Married-civ-spouse,,
Married-civ-spouse,,Private
Married-civ-spouse,HS-grad,Private
,Bachelors,
,HS-grad,
,,
Divorced,,Private
,HS-grad,
Divorced,,Private
,,Private
,Some-college,Self-emp-inc
Never-married,,
Separated,,
Married-civ-spouse,,Self-emp-not-inc
,,
,,
,HS-grad,Private
Married-civ-spouse,Assoc-acdm,Private
Never-married,11th,
,,Local-gov
,HS-grad,
,,Private
Married-civ-spouse,HS-grad,
,,Private
Divorced,,Private
Divorced,,Private
Married-civ-spouse,HS-grad,Local-gov
,Masters,Private
,9th,Private
,Doctorate,
Married-civ-spouse,Assoc-voc,Private
,Some-college,Private
,Some-college,Private
Married-civ-spouse,,Private
Married-civ-spouse,Bachelors,Local-gov
Never-married,Some-college,
,,Self-emp-not-inc
Married-civ-spouse,,
,,Private
Never-married,,
,,Private
,,Private
Never-married,Masters,
Never-married,Some-college,
,HS-grad,
,HS-grad,Self-emp-inc
,,Private
,HS-grad,
,HS-grad,Private
,,
,,Private
Married-civ-spouse,,
Married-civ-spouse,Some-college,
Never-married,,Private
Married-civ-spouse,9th,
Married-civ-spouse,Some-college,
Married-civ-spouse,,Local-gov
,Some-college,Private
,,
Never-married,Some-college,Private
Married-civ-spouse,,Private
,Bachelors,
,,
Never-married,Some-college,
,,Private
Never-married,Some-college,
Married-civ-spouse,,
,Some-college,Private
Never-married,Assoc-acdm,
Never-married,HS-grad,Private
,,Self-emp-not-inc
,,
,Assoc-acdm,Private
,Masters,Federal-gov
,HS-grad,Self-emp-not-inc
Married-civ-spouse,,Private
,Some-college,
Married-civ-spouse,,Private
,HS-grad,Self-emp-inc
Never-married,Some-college,
Never-married,Some-college,
Never-married,Assoc-voc,
,Some-college,Private
,HS-grad,
,,Private
Widowed,HS-grad,Private
,11th,
Divorced,,Local-gov
Never-married,,
,Bachelors,
Never-married,HS-grad,Private
Married-civ-spouse,HS-grad,
Never-married,Bachelors,
,Some-college,
,HS-grad,Private
Separated,Bachelors,
,HS-grad,
Divorced,Masters,Self-emp-inc
Never-married,HS-grad,
,,
,,Private
,Assoc-acdm,
,Masters,State-gov
,11th,
Widowed,Assoc-voc,
Never-married,,
Married-civ-spouse,HS-grad,
Married-civ-spouse,,
Never-married,,Private
,Bachelors,
,,Private
,,Private
,,Private
Never-married,HS-grad,Private
Married-civ-spouse,Bachelors,Private
,,Local-gov
Divorced,,Private
,,
,,Private
,Some-college,Federal-gov
,,Private
,,
,,Private
Married-civ-spouse,,
,,Private
Married-civ-spouse,,
,,
,,Private
,,Federal-gov
,,Private
Divorced,,Private
Never-married,Masters,
Married-civ-spouse,Masters,Private
Never-married,HS-grad,
Never-married,Masters,
,,Private
Never-married,Some-college,Local-gov
,,State-gov
,11th,
Married-civ-spouse,Bachelors,Private
,HS-grad,Private
,,Self-emp-inc
,11th,
Married-civ-spouse,,Local-gov
,,
,,
Married-civ-spouse,HS-grad,
Married-civ-spouse,,Self-emp-inc
Never-married,Bachelors,
Divorced,,Private
,,
Married-civ-spouse,Bachelors,
,10th,
Married-civ-spouse,,Private
Never-married,,
,,
Never-married,,Local-gov
,,
,,Self-emp-not-inc
,Assoc-voc,
,,Private
Separated,11th,
,,Private
,Some-college,
,,Private
,,
Married-civ-spouse,HS-grad,State-gov
Never-married,Some-college,
Married-civ-spouse,,Private
Married-civ-spouse,Masters,Local-gov
Never-married,,Private
,Bachelors,Private
,,Self-emp-not-inc
,,State-gov
Divorced,,Private
Married-civ-spouse,HS-grad,
,,Private
Never-married,HS-grad,
Married-civ-spouse,,Private
,,Private
,Prof-school,Private
,Bachelors,
Widowed,10th,
,Some-college,Local-gov
,Some-college,
,,Self-emp-not-inc
Never-married,HS-grad,
Separated,,
,Assoc-voc,
,,Private
Divorced,,
Married-civ-spouse,HS-grad,
,11th,
Married-civ-spouse,,
,,Private
Married-civ-spouse,,
Married-civ-spouse,,Private
Never-married,Bachelors,Private
Married-civ-spouse,,Private
