education,marital-status
Bachelors,
Bachelors,
HS-grad,
,
Bachelors,Married-civ-spouse
Masters,
,Married-spouse-absent
HS-grad,Married-civ-spouse
Masters,
,Married-civ-spouse
Some-college,
,
,Never-married
,Never-married
Assoc-voc,
,
,
,
,
Masters,
,
HS-grad,
,
,
,
Bachelors,Married-civ-spouse
,
Some-college,Married-civ-spouse
HS-grad,
HS-grad,Married-civ-spouse
,
,
,Divorced
Some-college,Married-civ-spouse
Some-college,Married-civ-spouse
11th,Never-married
,
,Married-AF-spouse
Some-college,
,
9th,
Bachelors,Married-civ-spouse
Bachelors,
HS-grad,Separated
HS-grad,Never-married
Bachelors,Married-civ-spouse
HS-grad,Married-civ-spouse
Masters,
,Married-civ-spouse
,Never-married
,Married-civ-spouse
,Never-married
Prof-school,Married-civ-spouse
,Divorced
,Divorced
Some-college,
5th-6th,Married-civ-spouse
Assoc-voc,Married-civ-spouse
,
HS-grad,
,Married-civ-spouse
7th-8th,
,
,Married-civ-spouse
,
HS-grad,
,
HS-grad,Married-civ-spouse
,
,
,Never-married
,
Bachelors,Married-civ-spouse
Some-college,
Some-college,
,
,
10th,Married-civ-spouse
,
,
HS-grad,
,Married-civ-spouse
HS-grad,Married-civ-spouse
,
HS-grad,
,Divorced
,
Masters,
9th,Never-married
,
,Married-civ-spouse
Some-college,
Some-college,Divorced
,Married-civ-spouse
Bachelors,
,
Doctorate,
Some-college,
,
,Never-married
