marital-status,education,workclass
,,
,,Self-emp-not-inc
,,
,,Private
Married-civ-spouse,,
,Masters,
,,Private
,,
,,
,,Private
,,Private
Married-civ-spouse,Bachelors,
,,
,,
,,
,,
,,
,,
,11th,
,,
,Doctorate,Private
Separated,,
,9th,
,11th,
,,
,Bachelors,Local-gov
,,
,,Private
Married-civ-spouse,,
,,
Never-married,,
,,Private
Married-civ-spouse,Some-college,Federal-gov
,,
,,
,,
,HS-grad,Private
,,Private
,Assoc-acdm,
,,
,,
,,Private
,HS-grad,
,,
,,
Married-civ-spouse,,
,Masters,
,,
,,
Married-civ-spouse,,
Never-married,,
Married-civ-spouse,,
,,
,,
,,
Married-civ-spouse,,
,,
,,
,HS-grad,
,,Private
,,
Married-civ-spouse,,
,,
,HS-grad,
,,
,,
Married-civ-spouse,,Self-emp-inc
,Some-college,
,,Private
Married-civ-spouse,,
,,
,,
Never-married,,
,,Private
,,
,7th-8th,Local-gov
,HS-grad,Private
,,
,,
,,
Divorced,,Private
,,
Married-civ-spouse,,
,,
,,
Never-married,,
,Assoc-voc,
Divorced,,
,Some-college,
,,
,,
,,
,,
Married-civ-spouse,,
,,
Never-married,,
,,
Married-civ-spouse,Bachelors,
,,
,Some-college,
,,
,HS-grad,
,,
,,
Married-civ-spouse,,
,,
,,
Married-civ-spouse,,Self-emp-not-inc
,,
Never-married,HS-grad,
,,
,,Self-emp-inc
,,
,,
Never-married,,
,,
,,
,,
,Bachelors,
Never-married,,
,,
,Some-college,
,,
,,
,,
,,
,,Self-emp-not-inc
Married-civ-spouse,,
,,
,Masters,
,HS-grad,
,,
,,
,,
,,
,Some-college,
,,
,,
,,Private
Never-married,,
,,
,,
,,
,,
,,
,,Private
,,Private
,HS-grad,
,,Private
,,
,,Private
,,Private
,,
,,
,,Private
Married-civ-spouse,,
,,
Never-married,,
,,State-gov
,,
,,
,,
,,
,,
,,
,,
,,Private
,,
,,
Never-married,,
,,Private
,,
,,
,,Private
,,
,,
,,
,,Self-emp-not-inc
,,
,,
,,
,,
,,
Married-civ-spouse,,
Married-civ-spouse,Bachelors,
,,
Divorced,,Private
,,
,,
,,
,,
,Bachelors,
,,
,,State-gov
,,
Married-civ-spouse,,
,,
,,
,,Private
,,
,,
,,
,,
Married-civ-spouse,,Self-emp-inc
,,Private
,,
Married-civ-spouse,,
,,
,,
,,
Never-married,,
,,
,,
,,
Married-civ-spouse,,Self-emp-not-inc
,,
,,
,,
,,
,,
,,Private
,,
,HS-grad,
,,
,,
,,
,,Private
Married-civ-spouse,,
,,
,,
,Some-college,Private
,,
,,
,,
,,
Married-civ-spouse,,
,,
Married-civ-spouse,,Private
Widowed,,
,,
Never-married,,
,HS-grad,
,,
Separated,HS-grad,
,Assoc-voc,
Divorced,,
Divorced,,
,HS-grad,
,,
,,
,11th,
,,
,,
Never-married,,Private
,,
,,
,,
Married-civ-spouse,,
,,
,,
Married-civ-spouse,,
,Some-college,
,,
,Some-college,
Married-civ-spouse,Some-college,
,,Private
Married-civ-spouse,Some-college,
,,
,,
,HS-grad,
,,
,,
,Some-college,
Never-married,Bachelors,
,7th-8th,Private
,,Private
Divorced,,Private
,,
,,
,,
,,
,,Self-emp-inc
,,
,,
,,
,,Private
,,
Married-civ-spouse,HS-grad,
,,
,,
,,
,,
Married-civ-spouse,,Private
,,
,,
,Masters,
,Bachelors,
,,
Never-married,,Private
,,Self-emp-not-inc
,,Private
Never-married,Some-college,Private
,,
,HS-grad,
,,
,,
,,
,,
,,
,,
,,
,,
,,Private
,Bachelors,
Never-married,Assoc-voc,
,,
,,
Never-married,,
Never-married,,Private
,Masters,Private
,,
Married-civ-spouse,,
,,
Married-civ-spouse,,
,,
,,
,,
,,
,,
,,
,,Private
,,
,,Private
,,
Married-civ-spouse,,Federal-gov
,,Private
,,
,,
,,
Married-civ-spouse,,
,,
,,
,,
,,
,,
,,
,,
,,
,HS-grad,
,,
,11th,
,,State-gov
,,
,,
,,
,,
,,Private
,,Self-emp-not-inc
,HS-grad,
,,
Divorced,,
,,
Divorced,,
,,
,,
Separated,HS-grad,
,,
,,
Never-married,,
Married-civ-spouse,,
,,
Separated,,
,,State-gov
,,
Married-civ-spouse,,
,,
,,
Married-civ-spouse,Bachelors,
,,
,,
,,State-gov
,,
,,Private
,,Private
,,
,,Self-emp-not-inc
,,Private
,Some-college,
Never-married,,
,,
,,
,,
,,
Married-civ-spouse,1st-4th,
Never-married,,Private
,,Local-gov
,,
,,
Never-married,11th,
,Bachelors,
,,
,10th,
,HS-grad,
Never-married,,Federal-gov
Never-married,,
,,
,,Local-gov
,,
,,Private
,,
,,Private
,,
Never-married,Some-college,
,,
,Some-college,
,,Private
,HS-grad,Private
,,
,,Private
Never-married,,
Never-married,Some-college,
,HS-grad,Private
,,
