marital-status,education,workclass
,Bachelors,State-gov
,Bachelors,
,HS-grad,
Married-civ-spouse,11th,
,,
,,
,,Private
,HS-grad,
Never-married,,
,,
Married-civ-spouse,,Private
Married-civ-spouse,Bachelors,
,Bachelors,Private
Never-married,,
,Assoc-voc,Private
Married-civ-spouse,7th-8th,
,HS-grad,
Never-married,HS-grad,Private
Married-civ-spouse,11th,
Divorced,Masters,
Married-civ-spouse,Doctorate,
Separated,HS-grad,Private
Married-civ-spouse,9th,
Married-civ-spouse,11th,
,,
,Bachelors,Local-gov
,,Private
,HS-grad,
Married-civ-spouse,HS-grad,
,Assoc-acdm,
Never-married,Some-college,
,,Private
Married-civ-spouse,Some-college,Federal-gov
,Some-college,
Never-married,11th,Private
,,Private
Married-AF-spouse,HS-grad,
,Some-college,Private
,,Self-emp-not-inc
,9th,Private
,,
Married-civ-spouse,,
Separated,,Private
,,Private
Married-civ-spouse,,Federal-gov
,,
,,
Married-civ-spouse,Assoc-voc,
,,Private
,,
,,
Married-civ-spouse,Prof-school,Private
,,Federal-gov
,,
Married-civ-spouse,,
,5th-6th,Private
,,
,HS-grad,
Married-civ-spouse,HS-grad,Private
Married-civ-spouse,,Private
,,
,Doctorate,Private
Divorced,,Private
Married-civ-spouse,HS-grad,Private
Divorced,Some-college,
,,Private
Married-civ-spouse,Some-college,
,Some-college,
Separated,Bachelors,Private
,Bachelors,Self-emp-not-inc
Never-married,Some-college,Private
Married-civ-spouse,Some-college,
Never-married,HS-grad,Private
,,
,,
Married-civ-spouse,7th-8th,
Never-married,,
Married-civ-spouse,Bachelors,
,,Private
,,
,HS-grad,Private
Divorced,,Private
Married-civ-spouse,HS-grad,Local-gov
,,
,9th,
,Doctorate,Federal-gov
,,
Divorced,,
,Some-college,Private
Married-civ-spouse,HS-grad,
Married-civ-spouse,Bachelors,
Never-married,,
,,Self-emp-not-inc
Married-civ-spouse,Some-college,
Divorced,Assoc-acdm,
Never-married,HS-grad,
Married-civ-spouse,,
,,
Never-married,,
Never-married,,
Never-married,,
,,
Never-married,11th,Private
Never-married,HS-grad,Local-gov
Married-civ-spouse,,Private
,,
,,Private
Married-civ-spouse,,
,Some-college,
,,
Married-civ-spouse,,Private
Married-civ-spouse,Some-college,
Married-civ-spouse,Assoc-voc,
,,Private
,HS-grad,Private
Never-married,Some-college,
Married-civ-spouse,,
,,Private
,Bachelors,State-gov
,,Private
,Bachelors,
,,
Married-civ-spouse,,
,Some-college,
Never-married,,Private
Never-married,,
,,Self-emp-not-inc
,Bachelors,Private
Divorced,Assoc-acdm,Private
,Masters,
Married-civ-spouse,,Self-emp-not-inc
Married-civ-spouse,,Private
Never-married,,Private
,,
,,Self-emp-inc
,,
,Some-college,Private
,Assoc-voc,
,,
,,
Married-civ-spouse,,Private
,,
Married-civ-spouse,11th,
,Some-college,Local-gov
,,Private
Never-married,Bachelors,Private
Never-married,,
Married-civ-spouse,HS-grad,
,Bachelors,
Separated,,
Divorced,,
Separated,,Private
,HS-grad,Private
Divorced,Masters,
Never-married,HS-grad,Private
,,Self-emp-not-inc
Divorced,,
Never-married,Assoc-acdm,Federal-gov
,Masters,State-gov
,,Private
Widowed,Assoc-voc,
,,Private
Married-civ-spouse,,
Married-civ-spouse,,Private
Never-married,,
Married-civ-spouse,,
Married-spouse-absent,HS-grad,Private
,,
Never-married,,Private
Never-married,HS-grad,
Married-civ-spouse,,
Married-civ-spouse,,Local-gov
,,Private
Never-married,Some-college,Private
,7th-8th,
,,
,HS-grad,
,,
,,
,Doctorate,
Divorced,,Private
,,Private
,,
,,
Married-civ-spouse,Bachelors,Federal-gov
Married-civ-spouse,,Private
Divorced,,
,,
,Masters,Private
,HS-grad,
Never-married,Masters,
,,Private
,,Local-gov
Divorced,,
Never-married,11th,
,Bachelors,Private
Divorced,,Private
Married-civ-spouse,HS-grad,Self-emp-inc
,11th,
,,
Married-civ-spouse,,
Never-married,,
,HS-grad,Private
Married-civ-spouse,,Self-emp-inc
Never-married,Bachelors,Private
,,
,,Private
Married-civ-spouse,,Private
,10th,Private
Married-civ-spouse,,Private
Never-married,HS-grad,
,,Private
Never-married,Preschool,
,,Private
Married-civ-spouse,,
Widowed,Assoc-voc,Private
,HS-grad,Private
,,Private
,HS-grad,
Never-married,Some-college,
Divorced,Some-college,Private
,,
Married-civ-spouse,HS-grad,
Never-married,Some-college,
Married-civ-spouse,,
,,
,,Private
Married-civ-spouse,Bachelors,
Married-civ-spouse,HS-grad,
Married-civ-spouse,,
,,Private
Married-civ-spouse,,
Married-civ-spouse,,
,HS-grad,Private
Married-civ-spouse,Assoc-acdm,Private
Married-civ-spouse,,
Married-civ-spouse,Prof-school,Private
Married-civ-spouse,Bachelors,
,10th,
,Some-college,Local-gov
Never-married,,Private
,HS-grad,Self-emp-not-inc
Never-married,HS-grad,
Separated,,Private
Widowed,,
Divorced,7th-8th,
Divorced,,Private
Married-civ-spouse,HS-grad,
Never-married,,
,,Private
Married-civ-spouse,11th,Private
,,
Married-civ-spouse,,
Never-married,Bachelors,
Married-civ-spouse,HS-grad,
Married-civ-spouse,,Private
,,
Married-civ-spouse,Masters,
Never-married,Masters,
Divorced,,Private
,,Private
Married-civ-spouse,,Private
Never-married,Some-college,Private
,Some-college,
Married-civ-spouse,Some-college,
,Bachelors,
Married-civ-spouse,Some-college,Local-gov
Divorced,Assoc-acdm,
Divorced,Bachelors,
Never-married,HS-grad,
,Masters,Federal-gov
,,Private
Divorced,Some-college,Private
,,Private
Married-civ-spouse,,
,Bachelors,Private
Divorced,HS-grad,
,Bachelors,Local-gov
Never-married,,Private
Never-married,,Private
Married-civ-spouse,HS-grad,Private
Divorced,,Self-emp-inc
,,Private
,HS-grad,Private
Married-civ-spouse,Bachelors,
Never-married,Some-college,Private
,,Private
,,Private
Married-civ-spouse,,Private
Divorced,,Private
Never-married,Assoc-acdm,Private
Never-married,Assoc-acdm,
,Assoc-acdm,
,,
,,
Married-civ-spouse,Masters,
Divorced,Bachelors,Self-emp-not-inc
,Some-college,Private
,,
,,Self-emp-not-inc
Married-civ-spouse,5th-6th,Private
Never-married,Some-college,Private
,HS-grad,Private
Married-civ-spouse,HS-grad,
Married-civ-spouse,,
,,
,,
Married-civ-spouse,,
,,Self-emp-not-inc
Married-civ-spouse,,Private
,,
Never-married,,Private
Never-married,Some-college,
Never-married,Bachelors,
,,Private
Married-civ-spouse,,Local-gov
,HS-grad,
Never-married,5th-6th,Private
Never-married,,
Never-married,,
,HS-grad,
Married-civ-spouse,,Private
,Assoc-acdm,Private
Married-civ-spouse,,Private
,,State-gov
Never-married,,Private
Never-married,Some-college,State-gov
,,
,Assoc-acdm,Private
,Bachelors,
,,
Married-civ-spouse,,Private
,,Private
Married-civ-spouse,,
,HS-grad,
Widowed,11th,
,Assoc-voc,
Married-civ-spouse,,Private
Married-civ-spouse,,Self-emp-not-inc
,,Private
,,Private
,,Private
Divorced,Bachelors,
,,Private
Married-civ-spouse,,Private
Married-civ-spouse,Some-college,Self-emp-not-inc
,Assoc-acdm,
Divorced,Bachelors,Private
Divorced,,Private
Never-married,Some-college,
Never-married,11th,
Married-civ-spouse,Assoc-voc,
,HS-grad,
,HS-grad,
,Some-college,Local-gov
Married-civ-spouse,,Private
Never-married,Some-college,
Divorced,,Self-emp-not-inc
Married-civ-spouse,HS-grad,Private
,,
,5th-6th,
,,Private
Divorced,,Private
Married-civ-spouse,,Local-gov
Never-married,HS-grad,Private
Separated,HS-grad,Private
,,Private
,,Private
Never-married,HS-grad,
Married-civ-spouse,,
Never-married,Bachelors,
Separated,,Self-emp-not-inc
Married-civ-spouse,,
Never-married,,
Married-civ-spouse,Some-college,Private
,Some-college,Private
,Bachelors,Private
,,
Never-married,,Private
Never-married,Some-college,Private
,,State-gov
Divorced,Assoc-voc,Private
Married-civ-spouse,7th-8th,Private
,Masters,
Married-civ-spouse,,
,HS-grad,Self-emp-not-inc
,Some-college,Private
Divorced,Some-college,
,HS-grad,
,Some-college,Private
Married-civ-spouse,Doctorate,
Married-civ-spouse,Some-college,State-gov
,12th,
Married-civ-spouse,,
,11th,
,,Local-gov
Divorced,HS-grad,
,Some-college,Private
,11th,
,Bachelors,State-gov
,,Private
Never-married,10th,Private
,HS-grad,
,Masters,
,,Private
Married-civ-spouse,,Self-emp-inc
Married-civ-spouse,,Local-gov
,,
Married-civ-spouse,Assoc-acdm,
Never-married,Some-college,
Married-civ-spouse,Masters,
,,Local-gov
,,Local-gov
Married-civ-spouse,,
,,
Never-married,,Private
Divorced,,
Never-married,,Federal-gov
,Some-college,
,,
,,Private
,,
,,Private
Married-civ-spouse,HS-grad,Private
,,
Married-civ-spouse,Some-college,
Married-civ-spouse,,Private
Married-civ-spouse,,
,,Self-emp-not-inc
,,
,HS-grad,
,Some-college,Private
Married-civ-spouse,,
Never-married,Assoc-acdm,
Married-civ-spouse,,Local-gov
,Bachelors,
,,
,Bachelors,
,HS-grad,Private
,HS-grad,Private
Married-civ-spouse,,Private
,,
,Bachelors,
,,
Never-married,,Private
Never-married,HS-grad,Private
,Assoc-voc,Private
,,
Never-married,,
,Some-college,Private
,10th,
Never-married,HS-grad,
,Assoc-acdm,Private
,,
Never-married,,State-gov
,HS-grad,
,Some-college,
,HS-grad,Local-gov
,Bachelors,Local-gov
,,Private
Never-married,HS-grad,
,,Federal-gov
,Assoc-acdm,
,,Private
Never-married,,Private
Divorced,,
,Some-college,
Never-married,5th-6th,
Never-married,,Private
,HS-grad,Local-gov
Married-civ-spouse,HS-grad,Local-gov
,Some-college,Private
,Some-college,Private
,Bachelors,
,Bachelors,Private
,,Private
,,
,,
Divorced,HS-grad,
Married-spouse-absent,Assoc-voc,
Never-married,,
Married-civ-spouse,,
,HS-grad,Private
Never-married,,Private
Married-civ-spouse,Bachelors,
,,
Married-civ-spouse,,
,,
Married-civ-spouse,Some-college,Local-gov
Divorced,,
Married-civ-spouse,Some-college,
,Bachelors,Private
Divorced,,Private
,,Self-emp-not-inc
Married-civ-spouse,,Self-emp-not-inc
Divorced,11th,
,,Private
,,
Married-civ-spouse,Assoc-acdm,
Married-civ-spouse,,
Married-civ-spouse,12th,Local-gov
,1st-4th,
Separated,,Private
,Bachelors,Self-emp-inc
,,
,,Private
Never-married,,Private
Never-married,HS-grad,
Married-civ-spouse,,
,,Private
,,Private
Married-civ-spouse,,
,HS-grad,
,Some-college,Private
Divorced,,Self-emp-not-inc
Separated,HS-grad,Self-emp-not-inc
Widowed,11th,
Married-civ-spouse,,
