age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,,77516,,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,,Male,0,0,13,United-States,
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,234721,,,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,,<=50K
28,Private,338409,Bachelors,13,Married-civ-spouse,,,Black,Female,0,,40,Cuba,<=50K
37,Private,284582,Masters,14,,,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,160187,,5,Married-spouse-absent,Other-service,Not-in-family,,Female,,0,,Jamaica,
52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,,Husband,White,Male,,0,45,United-States,>50K
31,Private,45781,Masters,14,Never-married,,Not-in-family,White,Female,14084,0,,United-States,>50K
42,,159449,,,Married-civ-spouse,Exec-managerial,,White,Male,5178,,40,United-States,>50K
37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,,>50K
30,State-gov,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,,0,40,,>50K
23,Private,122272,,13,Never-married,Adm-clerical,,White,Female,0,0,30,,<=50K
32,Private,205019,Assoc-acdm,,,Sales,,,,0,0,,United-States,
34,Private,245487,7th-8th,,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,,
25,Self-emp-not-inc,,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,,35,United-States,<=50K
,Private,186824,HS-grad,,Never-married,Machine-op-inspct,Unmarried,White,Male,0,,40,United-States,
38,Private,28887,,7,Married-civ-spouse,Sales,,White,Male,0,0,50,United-States,<=50K
43,Self-emp-not-inc,292175,,14,Divorced,Exec-managerial,Unmarried,White,Female,0,,45,United-States,>50K
,Private,,Doctorate,,Married-civ-spouse,Prof-specialty,,White,Male,,0,60,United-States,>50K
54,Private,302146,,9,,Other-service,Unmarried,Black,Female,0,,,United-States,<=50K
35,Federal-gov,76845,9th,5,Married-civ-spouse,,Husband,Black,,0,0,40,United-States,<=50K
43,Private,117037,,7,Married-civ-spouse,,Husband,White,Male,0,2042,40,,<=50K
59,Private,109015,,9,,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,,0,0,40,,>50K
,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,,Male,0,0,40,United-States,<=50K
39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,,0,0,,United-States,<=50K
49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,
23,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,,White,Male,,0,52,United-States,<=50K
20,Private,266015,Some-college,,Never-married,Sales,Own-child,Black,Male,,0,44,United-States,<=50K
45,Private,,,13,,Exec-managerial,,,Male,0,,40,United-States,<=50K
30,,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,,United-States,<=50K
22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,,15,United-States,<=50K
,,242406,11th,7,,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,
21,Private,197200,,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,,<=50K
19,Private,,HS-grad,9,,Adm-clerical,Wife,White,,0,0,25,United-States,<=50K
48,Self-emp-not-inc,265477,,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,,,United-States,
,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
,Self-emp-not-inc,88506,Bachelors,,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,,40,United-States,<=50K
24,Private,,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,,<=50K
