age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39,State-gov,77516,Bachelors,13,,Adm-clerical,Not-in-family,White,Male,2174,0,40,,
,,83311,,13,,Exec-managerial,Husband,White,,,0,13,United-States,
,,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,,0,,40,,<=50K
53,,,,,Married-civ-spouse,Handlers-cleaners,Husband,,Male,0,0,,United-States,
28,,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,,0,0,40,Cuba,
,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,,
,Private,160187,,,,,Not-in-family,Black,,,,,,<=50K
52,Self-emp-not-inc,,HS-grad,9,Married-civ-spouse,,,,Male,0,0,45,United-States,>50K
31,Private,45781,Masters,,Never-married,Prof-specialty,,White,,14084,,50,United-States,>50K
42,,159449,,13,,Exec-managerial,,,,5178,0,40,United-States,>50K
37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,,0,,80,United-States,>50K
30,State-gov,,Bachelors,,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
23,Private,122272,,13,Never-married,,Own-child,,Female,0,0,,United-States,<=50K
32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,,Male,,0,50,United-States,
34,Private,,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,,45,Mexico,<=50K
,,176756,HS-grad,9,Never-married,,Own-child,White,,0,0,35,,
,,186824,,9,Never-married,Machine-op-inspct,,,Male,,0,40,United-States,<=50K
38,Private,,11th,7,Married-civ-spouse,Sales,Husband,,Male,0,,,United-States,<=50K
,Self-emp-not-inc,292175,Masters,,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K
,Private,193524,Doctorate,,Married-civ-spouse,,Husband,White,,0,,60,United-States,>50K
,,302146,,,Separated,Other-service,Unmarried,Black,Female,0,,20,United-States,<=50K
35,Federal-gov,,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,,0,0,40,United-States,<=50K
,Private,117037,11th,7,Married-civ-spouse,,Husband,,,,2042,40,,<=50K
,,,,9,,Tech-support,Unmarried,,Female,,0,40,United-States,
56,,216851,,,,Tech-support,Husband,,Male,0,,40,United-States,>50K
,Private,168294,HS-grad,9,Never-married,Craft-repair,,White,,0,0,40,United-States,<=50K
39,,,,,Divorced,Exec-managerial,,,Male,0,0,80,United-States,
49,Private,193366,HS-grad,,,,,White,Male,0,0,40,United-States,<=50K
23,,190709,Assoc-acdm,12,,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K
20,Private,266015,,10,Never-married,Sales,Own-child,Black,,0,,44,United-States,
,Private,386940,,,Divorced,,Own-child,White,Male,,,40,United-States,
30,Federal-gov,59951,Some-college,,Married-civ-spouse,,,White,Male,0,0,40,United-States,
22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,,Black,Male,0,,15,United-States,<=50K
48,,242406,,,,,Unmarried,White,Male,0,0,40,,<=50K
21,Private,,,,Never-married,,Own-child,,Male,,0,40,,<=50K
19,Private,544091,HS-grad,9,Married-AF-spouse,,Wife,White,Female,0,0,,United-States,
48,,,,,Married-civ-spouse,,Husband,,Male,0,0,,United-States,<=50K
,,507875,9th,,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,,United-States,<=50K
53,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,
,Private,172987,,,Married-civ-spouse,Tech-support,Husband,,,0,0,,United-States,<=50K
49,Private,94638,,,Separated,Adm-clerical,,White,,,0,40,United-States,
25,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,,
,Federal-gov,337895,Bachelors,13,,Prof-specialty,,Black,,0,,,United-States,>50K
53,Private,144361,,,Married-civ-spouse,Machine-op-inspct,Husband,,Male,0,,38,United-States,
44,Private,128354,Masters,,,Exec-managerial,Unmarried,White,Female,,0,40,,<=50K
41,,101603,Assoc-voc,11,Married-civ-spouse,,,White,Male,,0,,United-States,<=50K
29,,,Assoc-voc,11,,,Not-in-family,,,,0,43,,<=50K
25,Private,32275,Some-college,,Married-civ-spouse,Exec-managerial,,,,0,0,40,United-States,
47,,51835,,15,,Prof-specialty,Wife,White,Female,0,1902,60,,
50,Federal-gov,251585,,13,Divorced,Exec-managerial,Not-in-family,,Male,0,,55,United-States,>50K
47,Self-emp-inc,,,9,,Exec-managerial,,,,0,,60,United-States,<=50K
43,Private,237993,Some-college,,,Tech-support,,White,,0,0,40,United-States,>50K
46,Private,216666,5th-6th,3,,Machine-op-inspct,Husband,White,,0,0,40,,
,Private,56352,,11,,Other-service,Husband,White,Male,,0,40,,<=50K
,,147372,,,Married-civ-spouse,Adm-clerical,,White,,0,,48,United-States,<=50K
,Private,188146,HS-grad,9,,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
30,,59496,,,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,
48,,149640,HS-grad,9,Married-civ-spouse,Transport-moving,,White,Male,0,,40,United-States,<=50K
42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,,,0,,45,United-States,>50K
29,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,,,,0,,United-States,<=50K
,Private,155537,HS-grad,9,,,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,,Some-college,10,Divorced,,Not-in-family,,Female,,0,40,United-States,<=50K
,Private,169846,HS-grad,,Married-civ-spouse,Adm-clerical,Wife,White,,0,0,40,,>50K
49,,191681,,,,Exec-managerial,Husband,White,,0,0,50,United-States,>50K
,Private,101509,Some-college,,Never-married,Prof-specialty,,White,,0,0,,,<=50K
,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,,40,,
29,,162298,,13,Married-civ-spouse,Sales,Husband,,Male,,,70,United-States,
23,Private,211678,,,Never-married,Machine-op-inspct,,White,Male,0,0,40,United-States,<=50K
,Private,124744,Some-college,,Married-civ-spouse,,Other-relative,White,Male,0,,20,,<=50K
27,Private,,HS-grad,9,Never-married,,Own-child,,Male,0,0,40,,<=50K
40,,32214,,12,Married-civ-spouse,,,White,,0,,40,United-States,<=50K
18,Private,309634,11th,7,Never-married,,Own-child,White,,0,0,22,United-States,<=50K
31,,125927,7th-8th,,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,,United-States,<=50K
,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,,,
52,Private,,,13,Married-civ-spouse,Other-service,Husband,,Male,0,0,40,Cuba,
,Private,,,,Married-civ-spouse,,Wife,White,,0,,40,United-States,<=50K
59,Private,159937,,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
44,Private,,,,Divorced,,,White,Female,,,,United-States,
53,Private,346253,HS-grad,9,Divorced,Sales,,White,Female,0,0,35,,<=50K
49,Local-gov,268234,HS-grad,,Married-civ-spouse,,,,,,0,40,,
33,Private,,Masters,14,,Prof-specialty,Husband,,,0,0,50,United-States,<=50K
30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,,,,United-States,<=50K
43,,410867,Doctorate,16,,Prof-specialty,Not-in-family,,,0,0,50,,>50K
