education,marital-status
Bachelors,Never-married
Bachelors,Married-civ-spouse
HS-grad,Divorced
11th,
Bachelors,Married-civ-spouse
Masters,
9th,Married-spouse-absent
HS-grad,Married-civ-spouse
Masters,Never-married
Bachelors,Married-civ-spouse
Some-college,Married-civ-spouse
Bachelors,
Bachelors,
Assoc-acdm,Never-married
Assoc-voc,
7th-8th,Married-civ-spouse
HS-grad,Never-married
HS-grad,
11th,Married-civ-spouse
Masters,Divorced
,Married-civ-spouse
HS-grad,Separated
9th,
11th,Married-civ-spouse
,
,
HS-grad,Never-married
Some-college,Married-civ-spouse
HS-grad,
HS-grad,
Assoc-acdm,Never-married
Some-college,
Bachelors,Divorced
,
,Married-civ-spouse
11th,Never-married
Some-college,Never-married
HS-grad,Married-AF-spouse
Some-college,Married-civ-spouse
Assoc-acdm,Married-civ-spouse
9th,Married-civ-spouse
Bachelors,Married-civ-spouse
Bachelors,Married-civ-spouse
,Separated
HS-grad,
,Married-civ-spouse
HS-grad,Married-civ-spouse
,Divorced
,
Assoc-voc,Never-married
Some-college,Married-civ-spouse
HS-grad,Never-married
Prof-school,Married-civ-spouse
Bachelors,Divorced
HS-grad,Divorced
Some-college,Married-civ-spouse
5th-6th,Married-civ-spouse
Assoc-voc,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
Bachelors,Married-civ-spouse
,Married-spouse-absent
HS-grad,Married-civ-spouse
Doctorate,Married-civ-spouse
Some-college,Divorced
,Married-civ-spouse
Some-college,Divorced
HS-grad,Married-civ-spouse
Some-college,Married-civ-spouse
Some-college,Never-married
Some-college,Never-married
Bachelors,
Bachelors,Married-civ-spouse
Some-college,Never-married
Some-college,
HS-grad,Never-married
Assoc-acdm,
,
11th,Never-married
7th-8th,Married-civ-spouse
HS-grad,
,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Married-civ-spouse
HS-grad,Divorced
HS-grad,Divorced
HS-grad,Married-civ-spouse
,Married-civ-spouse
,Never-married
Doctorate,Never-married
Assoc-voc,Married-civ-spouse
Some-college,Divorced
Some-college,Divorced
HS-grad,Married-civ-spouse
Bachelors,Married-civ-spouse
Some-college,
Doctorate,Married-civ-spouse
Some-college,Married-civ-spouse
Assoc-acdm,Divorced
HS-grad,Never-married
